Amount,No. coins used,Time taken
1,1,0.0032
2,2,0.00094
3,3,0.00096
4,4,0.00152
5,1,0.00138
6,2,0.00152
7,3,0.00164
8,4,0.00172
9,5,0.00206
10,1,0.00218
11,2,0.00238
12,3,0.00262
13,4,0.00282
14,5,0.00306
15,2,0.00326
16,3,0.00342
17,4,0.00366
18,5,0.0038
19,6,0.00404
20,1,0.00694
21,2,0.00492
22,3,0.00526
23,4,0.00518
24,5,0.00538
25,1,0.00566
26,2,0.00592
27,3,0.00622
28,4,0.00652
29,5,0.00674
30,2,0.00778
31,3,0.00782
32,4,0.00786
33,5,0.0089
34,6,0.00838
35,2,0.00874
36,3,0.00908
37,4,0.00922
38,5,0.00966
39,6,0.00998
40,2,0.01014
41,3,0.0103
42,4,0.0107
43,5,0.0117
44,6,0.01122
45,2,0.01146
46,3,0.01182
47,4,0.02288
48,5,0.01332
49,6,0.01358
50,2,0.01382
51,3,0.0143
52,4,0.01462
53,5,0.01398
54,6,0.0142
55,3,0.0141
56,4,0.01462
57,5,0.01486
58,6,0.01538
59,7,0.01606
60,3,0.0157
61,4,0.01584
62,5,0.01636
63,6,0.0164
64,7,0.01736
65,3,0.01736
66,4,0.01754
67,5,0.01794
68,6,0.01804
69,7,0.01818
70,3,0.01886
71,4,0.019
72,5,0.0194
73,6,0.02944
74,7,0.02072
75,3,0.01986
76,4,0.02028
77,5,0.02032
78,6,0.02072
79,7,0.02104
80,4,0.0215
81,5,0.02424
82,6,0.02454
83,7,0.0222
84,8,0.02284
85,4,0.02298
86,5,0.0249
87,6,0.02556
88,7,0.02548
89,8,0.02408
90,4,0.02456
91,5,0.02424
92,6,0.02474
93,7,0.03318
94,8,0.02746
95,4,0.02596
96,5,0.02548
97,6,0.02574
98,7,0.02646
99,8,0.02858
100,4,0.02894
101,5,0.02944
102,6,0.03142
103,7,0.03122
104,8,0.02884
105,5,0.02806
106,6,0.02894
107,7,0.02908
108,8,0.02908
109,9,0.0291
110,5,0.02948
111,6,0.03156
112,7,0.03094
113,8,0.03084
114,9,0.03078
115,5,0.03144
116,6,0.03324
117,7,0.03276
118,8,0.0322
119,9,0.03176
120,5,0.03334
121,6,0.03232
122,7,0.0332
123,8,0.03322
124,9,0.0381
