Amount,No. coins used,Time taken
1,1,0.00102
2,1,0.00116
3,2,0.0015
4,1,0.00182
5,2,0.00222
6,2,0.00264
7,3,0.00298
8,1,0.00336
9,2,0.00396
10,2,0.00448
11,3,0.00502
12,2,0.00548
13,3,0.00592
14,3,0.00646
15,4,0.00834
16,1,0.00742
17,2,0.00814
18,2,0.00858
19,3,0.00908
20,2,0.0098
21,3,0.01016
22,3,0.01086
23,4,0.01126
24,2,0.01202
25,3,0.0124
26,3,0.01578
27,4,0.01336
28,3,0.01362
29,4,0.0148
30,4,0.01688
31,5,0.01546
32,1,0.01632
33,2,0.01668
34,2,0.01722
35,3,0.01792
36,2,0.01882
37,3,0.02778
38,3,0.01988
39,4,0.02088
40,2,0.02052
41,3,0.02112
42,3,0.02164
43,4,0.0236
44,3,0.02358
45,4,0.02502
46,4,0.0255
47,5,0.02636
48,2,0.0269
49,3,0.02794
50,3,0.02726
51,4,0.02798
52,3,0.02866
53,4,0.02896
54,4,0.03056
55,5,0.03074
56,3,0.03174
57,4,0.03162
58,4,0.0338
59,5,0.0322
60,4,0.03344
61,5,0.03382
62,5,0.0339
63,6,0.0367
64,2,0.03628
65,3,0.0376
66,3,0.03792
67,4,0.0393
68,3,0.0373
69,4,0.03998
70,4,0.04146
71,5,0.04144
72,3,0.04022
73,4,0.04046
74,4,0.04124
75,5,0.04254
76,4,0.04392
77,5,0.04294
78,5,0.04344
79,6,0.04656
80,3,0.0465
81,4,0.04558
82,4,0.04722
83,5,0.04694
84,4,0.04694
85,5,0.04798
86,5,0.0485
87,6,0.04776
88,4,0.04876
89,5,0.0462
90,5,0.04912
91,6,0.04762
92,5,0.04786
93,6,0.04952
94,6,0.04882
95,7,0.05078
96,3,0.05124
97,4,0.05192
98,4,0.05336
99,5,0.0529
100,4,0.0603
101,5,0.05464
102,5,0.05454
103,6,0.05818
104,4,0.05686
105,5,0.05808
106,5,0.05754
107,6,0.05926
108,5,0.05876
109,6,0.05966
110,6,0.05936
111,7,0.06028
112,4,0.0616
113,5,0.05962
114,5,0.0612
115,6,0.06256
116,5,0.06234
117,6,0.06546
118,6,0.06696
119,7,0.06706
120,5,0.06566
121,6,0.06948
122,6,0.06938
123,7,0.06694
124,6,0.06676
125,7,0.06816
126,7,0.0706
127,8,0.06902
128,4,0.0695
129,5,0.06844
130,5,0.07324
131,6,0.07442
132,5,0.07414
133,6,0.07728
134,6,0.07494
135,7,0.07722
136,5,0.08056
137,6,0.07986
