Amount,No. coins used,Time taken
1,1,0.001
2,1,0.00126
3,1,0.00156
4,1,0.00222
5,1,0.0027
6,1,0.0034
7,1,0.00406
8,2,0.00468
9,2,0.0053
10,2,0.0063
11,2,0.00718
12,2,0.00806
13,2,0.0081
14,2,0.00914
15,3,0.00978
16,3,0.01008
17,3,0.01114
18,3,0.01168
19,3,0.01246
20,3,0.01294
21,3,0.01332
22,4,0.01426
23,4,0.0146
24,4,0.01528
25,4,0.0159
26,4,0.0168
27,4,0.01686
28,4,0.01814
29,5,0.01876
30,5,0.02008
31,5,0.0201
32,5,0.0212
33,5,0.02166
34,5,0.02334
35,5,0.02398
36,6,0.02382
37,6,0.02478
38,6,0.02542
39,6,0.02768
40,6,0.02682
41,6,0.02774
42,6,0.02804
43,7,0.0292
44,7,0.02976
45,7,0.03124
46,7,0.02998
47,7,0.03118
48,7,0.03252
49,7,0.033
50,8,0.03378
51,8,0.0342
52,8,0.03528
53,8,0.0365
54,8,0.036
55,8,0.0391
56,8,0.0374
57,9,0.03832
58,9,0.03862
59,9,0.03978
60,9,0.04044
61,9,0.04084
62,9,0.04084
63,9,0.04476
64,10,0.04704
65,10,0.04486
66,10,0.04562
67,10,0.04662
68,10,0.04658
69,10,0.04608
70,10,0.0475
71,11,0.04998
72,11,0.0484
73,11,0.0512
74,11,0.05414
75,11,0.05146
76,11,0.05382
77,11,0.05564
78,12,0.05454
79,12,0.05518
80,12,0.05614
81,12,0.0576
82,12,0.05832
83,12,0.05674
84,12,0.06146
85,13,0.06398
86,13,0.06296
87,13,0.06324
88,13,0.06272
89,13,0.06506
90,13,0.06406
91,13,0.06534
92,14,0.0668
93,14,0.06974
94,14,0.06828
95,14,0.07176
96,14,0.06638
97,14,0.07004
98,14,0.07504
99,15,0.07396
100,15,0.0766
