Amount,No. coins used,Time taken
1,1,0.0017
2,2,0.0012
3,3,0.00128
4,4,0.00146
5,5,0.00156
6,6,0.00168
7,7,0.00182
8,8,0.00212
9,9,0.00212
10,1,0.00252
11,2,0.00278
12,3,0.00294
13,4,0.0031
14,5,0.00338
15,6,0.00358
16,7,0.00378
17,8,0.004
18,9,0.00416
19,10,0.00476
20,2,0.00508
21,3,0.00494
22,4,0.00548
23,5,0.00532
24,6,0.00574
25,7,0.00692
26,8,0.0068
27,9,0.00788
28,10,0.0066
29,11,0.00704
30,3,0.00742
31,4,0.00806
32,5,0.0075
33,6,0.00794
34,7,0.00938
35,8,0.00804
36,9,0.0088
37,10,0.0087
38,11,0.00952
39,12,0.00882
40,4,0.00954
41,5,0.00928
42,6,0.01022
43,7,0.00948
44,8,0.01008
45,9,0.01378
46,10,0.0115
47,11,0.01076
48,12,0.01232
49,13,0.01268
50,5,0.01216
51,6,0.01132
52,7,0.01228
53,8,0.01242
54,9,0.01386
55,10,0.01256
56,11,0.01246
57,12,0.01326
58,13,0.0137
59,14,0.0145
60,6,0.01518
61,7,0.01434
62,8,0.01616
63,9,0.01632
64,10,0.01498
65,11,0.01608
66,12,0.01676
67,13,0.01558
68,14,0.01636
69,15,0.01644
70,7,0.01736
71,8,0.0165
72,9,0.01588
73,10,0.01676
74,11,0.0165
75,12,0.01762
76,13,0.01718
77,14,0.01794
78,15,0.0294
79,16,0.01836
80,8,0.01832
81,9,0.01864
82,10,0.01924
83,11,0.0184
84,12,0.01912
85,13,0.0199
86,14,0.02048
87,15,0.0207
88,16,0.02028
89,17,0.0217
90,9,0.02214
91,10,0.02092
92,11,0.0215
93,12,0.02114
94,13,0.02346
95,14,0.02082
96,15,0.02116
97,16,0.02172
98,17,0.02194
99,18,0.02466
100,1,0.02354
101,2,0.02472
102,3,0.0245
103,4,0.025
104,5,0.02542
105,6,0.0258
106,7,0.02864
107,8,0.02554
108,9,0.02608
109,10,0.02568
110,2,0.02932
111,3,0.02562
112,4,0.02784
113,5,0.0273
114,6,0.02894
115,7,0.0303
116,8,0.03022
117,9,0.02782
118,10,0.03276
119,11,0.03342
120,3,0.03434
121,4,0.03386
122,5,0.03556
123,6,0.03744
124,7,0.03706
125,8,0.03788
126,9,0.04098
127,10,0.03928
128,11,0.03806
129,12,0.04208
130,4,0.04128
131,5,0.03688
132,6,0.03854
133,7,0.03776
134,8,0.03922
135,9,0.0375
136,10,0.03596
137,11,0.03686
138,12,0.03854
139,13,0.0353
140,5,0.03574
141,6,0.03516
142,7,0.03598
143,8,0.03344
144,9,0.0359
145,10,0.03388
146,11,0.0378
147,12,0.03674
148,13,0.03714
149,14,0.03526
150,6,0.0379
151,7,0.03576
152,8,0.03874
153,9,0.03802
154,10,0.06274
155,11,0.04184
156,12,0.04324
157,13,0.0384
158,14,0.0401
159,15,0.03794
160,7,0.0452
161,8,0.03842
162,9,0.0407
163,10,0.04106
164,11,0.04072
165,12,0.04056
166,13,0.04432
167,14,0.04256
168,15,0.0438
169,16,0.04334
170,8,0.04406
171,9,0.04284
172,10,0.04516
173,11,0.0463
174,12,0.04792
175,13,0.05062
176,14,0.05148
177,15,0.05736
178,16,0.05946
179,17,0.05642
180,9,0.05516
181,10,0.05296
182,11,0.05352
183,12,0.04936
184,13,0.0484
185,14,0.05056
186,15,0.05016
187,16,0.04582
188,17,0.0475
189,18,0.0456
190,10,0.05086
191,11,0.04734
192,12,0.049
193,13,0.04868
194,14,0.04866
195,15,0.04784
196,16,0.0484
197,17,0.05274
198,18,0.05054
199,19,0.05126
200,2,0.04868
201,3,0.049
202,4,0.06496
203,5,0.04906
204,6,0.0523
205,7,0.05114
206,8,0.05544
207,9,0.05008
208,10,0.0536
209,11,0.05448
210,3,0.05832
211,4,0.05048
212,5,0.0524
213,6,0.05224
214,7,0.0575
215,8,0.05592
216,9,0.05346
217,10,0.05598
218,11,0.05848
219,12,0.05658
220,4,0.05764
221,5,0.05484
222,6,0.05994
223,7,0.05662
224,8,0.0556
225,9,0.05722
226,10,0.0615
227,11,0.0564
228,12,0.0608
229,13,0.05788
230,5,0.06082
231,6,0.06114
232,7,0.05728
233,8,0.05946
234,9,0.06286
235,10,0.05948
236,11,0.0621
237,12,0.06188
238,13,0.06134
239,14,0.06258
240,6,0.06486
241,7,0.0616
242,8,0.06804
243,9,0.06324
244,10,0.07624
245,11,0.06846
246,12,0.07032
247,13,0.06382
248,14,0.06638
249,15,0.06322
250,7,0.0675
251,8,0.06786
252,9,0.06184
253,10,0.0674
254,11,0.07248
255,12,0.07168
256,13,0.06898
257,14,0.06838
258,15,0.07582
259,16,0.06878
260,8,0.07216
261,9,0.06954
262,10,0.07398
263,11,0.07506
264,12,0.07046
265,13,0.06968
266,14,0.07358
267,15,0.06826
268,16,0.07402
269,17,0.07186
270,9,0.07374
271,10,0.07514
272,11,0.07742
273,12,0.07602
274,13,0.07746
275,14,0.07326
276,15,0.07484
277,16,0.07642
278,17,0.08064
279,18,0.09126
280,10,0.0814
281,11,0.0781
282,12,0.08024
283,13,0.0777
284,14,0.07622
285,15,0.08128
286,16,0.08258
287,17,0.07564
288,18,0.07612
289,19,0.0787
290,11,0.07942
291,12,0.07724
292,13,0.08074
293,14,0.07686
294,15,0.08624
295,16,0.07894
296,17,0.08252
297,18,0.0786
298,19,0.07802
299,20,0.07982
300,3,0.0807
301,4,0.08146
302,5,0.08394
303,6,0.08542
304,7,0.0864
305,8,0.08678
306,9,0.09914
307,10,0.09528
308,11,0.09456
309,12,0.09414
310,4,0.09092
311,5,0.09248
312,6,0.09314
313,7,0.08738
314,8,0.0967
315,9,0.09532
316,10,0.09134
317,11,0.09218
318,12,0.09648
319,13,0.09228
320,5,0.09392
321,6,0.09608
322,7,0.09852
