Amount,No. coins used,Time taken
1,1,0.0019
2,1,0.00168
3,2,0.00188
4,2,0.00224
5,1,0.00272
6,2,0.00338
7,2,0.00374
8,3,0.00414
9,3,0.00468
10,1,0.00568
11,2,0.0064
12,2,0.01072
13,3,0.00772
14,3,0.00792
15,2,0.00838
16,3,0.00874
17,3,0.0095
18,4,0.0096
19,4,0.01074
20,1,0.01132
21,2,0.01164
22,2,0.01256
23,3,0.01362
24,3,0.01512
25,1,0.01564
26,2,0.01656
27,2,0.01784
28,3,0.01872
29,3,0.01984
30,2,0.02154
31,3,0.0222
32,3,0.02444
33,4,0.02368
34,4,0.02496
35,2,0.02608
36,3,0.02722
37,3,0.02798
38,4,0.02966
39,4,0.03036
40,2,0.03374
41,3,0.03484
42,3,0.0386
43,4,0.03988
44,4,0.04346
45,2,0.0439
46,3,0.0462
47,3,0.04762
48,4,0.05186
49,4,0.05942
50,1,0.05072
51,2,0.05532
52,2,0.05594
53,3,0.05338
54,3,0.05306
55,2,0.05296
56,3,0.05222
57,3,0.05456
58,4,0.05382
59,4,0.0528
60,2,0.05244
61,3,0.05282
62,3,0.0523
63,4,0.05388
64,4,0.06568
65,3,0.0552
66,4,0.054
67,4,0.0549
68,5,0.0557
69,5,0.06038
70,2,0.06116
71,3,0.06752
72,3,0.06802
73,4,0.07496
74,4,0.07318
75,2,0.07682
76,3,0.07898
77,3,0.0894
78,4,0.08998
79,4,0.09602
80,3,0.10316
81,4,0.10736
82,4,0.10978
83,5,0.10992
84,5,0.10528
85,3,0.10044
86,4,0.10694
87,4,0.10348
88,5,0.11184
89,5,0.11238
90,3,0.1129
91,4,0.11454
92,4,0.11116
93,5,0.11428
94,5,0.1234
95,3,0.1199
96,4,0.11936
97,4,0.1135
98,5,0.10834
99,5,0.10902
100,2,0.1006
101,3,0.10026
102,3,0.09592
103,4,0.0974
104,4,0.08826
105,3,0.08474
106,4,0.0873
107,4,0.0863
108,5,0.08374
109,5,0.0793
110,3,0.08188
111,4,0.07784
112,4,0.0751
113,5,0.07466
114,5,0.07648
115,4,0.07258
116,5,0.0777
117,5,0.09838
118,6,0.07928
119,6,0.07698
120,3,0.0778
121,4,0.07544
122,4,0.07664
123,5,0.07786
124,5,0.07966
125,3,0.08278
126,4,0.0845
127,4,0.08618
128,5,0.08202
129,5,0.0822
130,4,0.08224
131,5,0.08376
132,5,0.0848
133,6,0.08664
134,6,0.08754
135,4,0.08734
136,5,0.09094
137,5,0.09156
138,6,0.08938
139,6,0.09408
140,4,0.09368
141,5,0.09784
142,5,0.09592
143,6,0.09618
144,6,0.0939
145,4,0.1023
146,5,0.08864
147,5,0.09562
148,6,0.09264
149,6,0.11826
150,3,0.08998
151,4,0.09518
152,4,0.09738
153,5,0.09652
154,5,0.0985
155,4,0.09466
156,5,0.1653
157,5,0.09978
158,6,0.09596
159,6,0.10492
160,4,0.10614
161,5,0.1185
162,5,0.12468
163,6,0.14006
164,6,0.15426
165,5,0.14634
166,6,0.14438
167,6,0.14208
168,7,0.13628
169,7,0.13446
170,4,0.1456
171,5,0.15466
172,5,0.17366
173,6,0.1862
174,6,0.19866
175,4,0.22296
176,5,0.23814
177,5,0.22928
178,6,0.24224
179,6,0.2416
180,5,0.27828
181,6,0.23176
182,6,0.24136
183,7,0.22326
184,7,0.22042
185,5,0.19294
186,6,0.16946
187,6,0.1671
188,7,0.1593
189,7,0.1415
190,5,0.13444
191,6,0.12982
192,6,0.13128
193,7,0.12762
194,7,0.19074
195,5,0.12248
196,6,0.1266
197,6,0.12446
198,7,0.13536
199,7,0.1425
200,4,0.15822
201,5,0.19264
202,5,0.19872
203,6,0.20568
204,6,0.18874
205,5,0.1697
206,6,0.16556
207,6,0.153
208,7,0.148
209,7,0.13888
210,5,0.16258
211,6,0.13922
212,6,0.14202
213,7,0.14314
214,7,0.16186
215,6,0.1793
216,7,0.18934
217,7,0.20492
218,8,0.18902
219,8,0.1838
220,5,0.16818
221,6,0.15854
222,6,0.15102
223,7,0.1456
224,7,0.1459
225,5,0.15018
226,6,0.13954
227,6,0.14212
228,7,0.1395
229,7,0.14288
230,6,0.14282
231,7,0.14246
232,7,0.15126
233,8,0.14436
234,8,0.14828
235,6,0.14964
236,7,0.15418
237,7,0.15308
238,8,0.15046
239,8,0.14902
240,6,0.15016
241,7,0.15102
242,7,0.1903
243,8,0.1484
244,8,0.15952
245,6,0.15786
246,7,0.161
247,7,0.16558
248,8,0.16232
249,8,0.173
250,5,0.15348
251,6,0.15874
252,6,0.15936
253,7,0.1771
254,7,0.16592
255,6,0.16546
256,7,0.1706
257,7,0.19816
258,8,0.16976
259,8,0.16562
260,6,0.16406
261,7,0.16684
262,7,0.1651
263,8,0.17168
264,8,0.16634
265,7,0.17058
266,8,0.17084
267,8,0.17188
268,9,0.16356
269,9,0.1718
270,6,0.19002
271,7,0.19312
272,7,0.2355
273,8,0.1914
274,8,0.17852
275,6,0.17638
276,7,0.1674
277,7,0.17346
278,8,0.17142
279,8,0.17658
280,7,0.17928
281,8,0.17988
282,8,0.1836
283,9,0.18348
284,9,0.1887
285,7,0.17694
286,8,0.20216
287,8,0.21286
288,9,0.39682
289,9,0.35004
290,7,0.20812
291,8,0.19656
292,8,0.2045
293,9,0.20272
294,9,0.20218
295,7,0.2012
296,8,0.1926
297,8,0.24106
298,9,0.19352
299,9,0.1917
300,6,0.20382
301,7,0.19616
302,7,0.19948
303,8,0.20904
304,8,0.19822
305,7,0.19164
306,8,0.19596
307,8,0.19594
308,9,0.1982
309,9,0.20034
310,7,0.22674
311,8,0.20122
312,8,0.20022
313,9,0.20848
314,9,0.2036
315,8,0.20786
316,9,0.20176
317,9,0.227
318,10,0.21396
319,10,0.2005
320,7,0.21532
321,8,0.2103
322,8,0.2683
323,9,0.21224
324,9,0.20902
325,7,0.2214
326,8,0.21988
327,8,0.21016
328,9,0.21366
329,9,0.21568
330,8,0.21108
331,9,0.2487
332,9,0.27194
333,10,0.24126
334,10,0.22622
335,8,0.2171
336,9,0.21426
337,9,0.22158
338,10,0.22408
339,10,0.20974
340,8,0.21376
341,9,0.21486
342,9,0.21926
343,10,0.22676
344,10,0.22044
345,8,0.23718
346,9,0.22584
347,9,0.21956
348,10,0.24128
349,10,0.25116
350,7,0.27456
351,8,0.32528
352,8,0.36812
353,9,0.36222
354,9,0.313
355,8,0.2928
356,9,0.25616
357,9,0.25596
358,10,0.2456
359,10,0.2465
360,8,0.25054
361,9,0.25792
362,9,0.31054
363,10,0.25234
364,10,0.26628
365,9,0.25054
366,10,0.26736
367,10,0.25024
368,11,0.25354
369,11,0.25618
370,8,0.26116
371,9,0.25392
