Amount,No. coins used,Time taken
1,1,0.00114
2,2,0.00106
3,3,0.00122
4,4,0.00136
5,5,0.00162
6,1,0.00194
7,1,0.00226
8,2,0.00278
9,3,0.00306
10,4,0.00358
11,5,0.00346
12,2,0.00374
13,2,0.00424
14,2,0.00442
15,3,0.00478
16,4,0.00494
17,5,0.00538
18,3,0.00562
19,3,0.00602
20,3,0.0061
21,3,0.00656
22,4,0.00666
23,5,0.00746
24,4,0.00796
25,4,0.00828
26,4,0.0085
27,4,0.00892
28,4,0.0095
29,5,0.01028
30,5,0.00992
31,5,0.01054
32,5,0.01018
33,5,0.01036
34,5,0.01074
35,5,0.01112
36,6,0.01148
37,6,0.01172
38,6,0.01138
39,6,0.01192
40,6,0.01206
41,6,0.01448
42,6,0.01418
43,7,0.0128
44,7,0.01374
45,7,0.01362
46,7,0.01554
47,7,0.01502
48,7,0.0154
49,7,0.01554
50,8,0.0157
51,8,0.01606
52,8,0.01752
53,8,0.01684
54,8,0.0183
55,8,0.01914
56,8,0.01788
57,9,0.0185
58,9,0.01848
59,9,0.01838
60,9,0.0182
61,9,0.02018
62,9,0.02008
63,9,0.01976
64,10,0.02026
65,10,0.02008
66,10,0.02094
67,10,0.0212
68,10,0.02142
69,1,0.02076
70,2,0.02184
71,3,0.02226
72,4,0.02292
73,5,0.02304
74,6,0.0236
75,2,0.02556
76,2,0.02348
77,3,0.02442
78,4,0.02486
79,5,0.02848
80,6,0.02736
81,3,0.02828
82,3,0.02806
83,3,0.032
84,4,0.02936
85,5,0.0283
86,6,0.02794
87,4,0.02946
88,4,0.0314
89,4,0.03158
90,4,0.03092
91,5,0.02906
92,6,0.03014
93,5,0.03114
94,5,0.03124
95,5,0.03138
96,5,0.03172
97,5,0.03194
98,6,0.03432
99,6,0.034
100,6,0.03448
101,6,0.03476
102,6,0.03436
103,6,0.05024
104,6,0.03536
105,7,0.03602
106,7,0.03736
107,7,0.04032
108,7,0.07056
109,7,0.0447
110,7,0.04414
111,7,0.04364
112,8,0.0444
113,8,0.04374
114,8,0.04768
115,8,0.0457
116,8,0.04694
117,8,0.05734
118,8,0.0527
119,9,0.0515
120,9,0.05142
121,9,0.05442
122,9,0.05532
123,9,0.05206
124,9,0.04944
125,9,0.0521
126,10,0.04982
127,10,0.05034
128,10,0.05522
129,10,0.0469
130,10,0.0467
131,10,0.04736
132,10,0.04716
133,11,0.04648
134,11,0.04966
135,11,0.04778
136,11,0.04742
137,11,0.04816
138,2,0.04976
139,3,0.05038
140,4,0.05168
141,5,0.04922
142,6,0.05116
143,7,0.0522
144,3,0.04992
145,3,0.0535
146,4,0.05278
147,5,0.05192
148,6,0.05168
149,7,0.0523
150,4,0.05174
151,4,0.053
152,4,0.05306
153,5,0.05278
154,6,0.0665
155,7,0.05948
156,5,0.05938
157,5,0.05732
158,5,0.05784
159,5,0.05662
160,6,0.08486
161,7,0.07184
162,6,0.06306
163,6,0.05874
164,6,0.0591
165,6,0.0605
166,6,0.06058
167,7,0.05964
168,7,0.06026
169,7,0.06368
170,7,0.06478
171,7,0.06274
172,7,0.06786
173,7,0.06806
