Amount,No. coins used,Time taken
1,1,0.00188
2,2,0.00144
3,3,0.00168
4,1,0.00204
5,2,0.00246
6,3,0.00286
7,4,0.00328
8,2,0.00354
9,1,0.00388
10,2,0.00432
11,3,0.00518
12,3,0.00552
13,2,0.00596
14,3,0.00644
15,4,0.0072
16,1,0.00762
17,2,0.00844
18,2,0.0093
19,3,0.0109
20,2,0.01132
21,3,0.0116
22,3,0.01204
23,4,0.01258
24,3,0.01348
25,1,0.01342
26,2,0.01436
27,3,0.01494
28,4,0.01936
29,2,0.01702
30,3,0.017
31,4,0.01786
32,2,0.01756
33,3,0.01844
34,2,0.01896
35,3,0.02324
36,1,0.02036
37,2,0.02084
38,3,0.02276
39,4,0.02162
40,2,0.02166
41,2,0.0239
42,3,0.02194
43,3,0.02362
44,3,0.02294
45,2,0.02294
46,3,0.02476
47,4,0.02678
48,3,0.02586
49,1,0.02658
50,2,0.02696
51,3,0.02636
52,2,0.03036
53,2,0.02884
54,3,0.02924
55,4,0.02944
56,3,0.03034
57,3,0.0348
58,2,0.03374
59,3,0.03474
60,4,0.03412
61,2,0.03502
62,3,0.03452
63,4,0.03708
64,4,0.0366
65,2,0.0368
66,3,0.0368
67,3,0.04858
68,3,0.04144
69,3,0.03946
70,3,0.04088
71,4,0.04198
72,2,0.0417
73,3,0.04232
74,2,0.0472
75,3,0.04122
76,3,0.04244
77,3,0.0444
78,3,0.04688
79,4,0.04624
80,4,0.04692
81,3,0.05172
82,4,0.04582
83,3,0.04864
84,4,0.0534
85,2,0.05394
86,3,0.05108
87,4,0.05206
88,3,0.04978
89,3,0.04856
90,3,0.05054
91,4,0.05184
92,4,0.0524
93,4,0.05308
94,3,0.05624
95,4,0.07304
96,5,0.05392
97,3,0.05654
98,2,0.05586
99,3,0.05982
100,4,0.05736
101,3,0.05914
102,3,0.05758
103,4,0.05912
104,4,0.06304
105,4,0.06332
106,4,0.0623
107,3,0.06274
108,3,0.06432
109,4,0.06442
110,3,0.06842
111,4,0.06406
112,4,0.06652
113,4,0.06788
114,3,0.06566
115,4,0.06686
116,4,0.07202
117,4,0.07442
118,4,0.07878
119,4,0.08644
120,5,0.08708
121,3,0.09644
122,4,0.13798
123,3,0.09798
124,4,0.09412
125,4,0.08764
126,4,0.08914
127,4,0.08584
128,5,0.08388
129,5,0.0839
130,4,0.08258
131,5,0.0824
132,4,0.0805
133,4,0.08288
134,3,0.08522
135,4,0.08058
136,5,0.08638
137,4,0.08176
138,4,0.14286
139,4,0.09928
140,5,0.08132
141,5,0.08734
142,5,0.08366
143,4,0.08612
144,4,0.08902
145,5,0.09574
146,4,0.0923
147,3,0.10714
148,4,0.16678
