Amount,No. coins used,Time taken
1,1,0.00112
2,2,0.00148
3,3,0.0012
4,4,0.00134
5,1,0.00196
6,2,0.00194
7,3,0.00208
8,4,0.00232
9,5,0.0025
10,1,0.00312
11,2,0.00414
12,3,0.00374
13,4,0.00458
14,5,0.00452
15,2,0.00474
16,3,0.00504
17,4,0.00548
18,5,0.00572
19,6,0.00812
20,2,0.00644
21,3,0.00664
22,4,0.00706
23,5,0.0075
24,6,0.0082
25,1,0.00868
26,2,0.00896
27,3,0.00872
28,4,0.00932
29,5,0.0101
30,2,0.01004
31,3,0.01084
32,4,0.01156
33,5,0.01158
34,6,0.0119
35,2,0.01256
36,3,0.0137
37,4,0.01456
38,5,0.0138
39,6,0.01584
40,3,0.01622
41,4,0.01496
42,5,0.01524
43,6,0.0181
44,7,0.01686
45,3,0.01738
46,4,0.01928
47,5,0.01766
48,6,0.02116
49,7,0.01916
50,2,0.0197
51,3,0.0191
52,4,0.01914
53,5,0.02134
54,6,0.02338
55,3,0.01968
56,4,0.02078
57,5,0.02224
58,6,0.02258
59,7,0.02132
60,3,0.02332
61,4,0.02542
62,5,0.02504
63,6,0.02752
64,7,0.02516
65,4,0.02642
66,5,0.0272
67,6,0.02668
68,7,0.02744
69,8,0.0268
70,4,0.02708
71,5,0.02826
72,6,0.02734
73,7,0.03214
74,8,0.03092
75,3,0.03136
76,4,0.02924
77,5,0.03176
78,6,0.02976
79,7,0.0318
80,4,0.03152
81,5,0.03502
82,6,0.0337
83,7,0.03398
84,8,0.03316
85,4,0.03518
86,5,0.03664
87,6,0.03602
88,7,0.03368
89,8,0.0346
90,5,0.03298
91,6,0.03502
92,7,0.03376
93,8,0.03376
94,9,0.03482
95,5,0.03724
96,6,0.03926
97,7,0.03834
98,8,0.03674
99,9,0.03564
100,4,0.03896
101,5,0.03876
102,6,0.03972
103,7,0.04374
104,8,0.04406
105,5,0.04098
106,6,0.04208
107,7,0.04034
108,8,0.03968
109,9,0.03968
110,5,0.04556
111,6,0.04452
112,7,0.04434
113,8,0.04312
114,9,0.04262
115,6,0.04442
116,7,0.04946
117,8,0.05208
118,9,0.05004
119,10,0.0438
120,6,0.043
121,7,0.04806
122,8,0.0462
123,9,0.04506
124,10,0.04934
125,5,0.05008
126,6,0.04878
127,7,0.04914
128,8,0.04682
129,9,0.0475
130,6,0.05222
131,7,0.04942
132,8,0.04832
133,9,0.04668
134,10,0.05086
135,6,0.0513
136,7,0.05338
137,8,0.05298
138,9,0.05296
139,10,0.05322
140,7,0.05242
141,8,0.05312
142,9,0.05542
143,10,0.05474
144,11,0.0571
145,7,0.0577
146,8,0.05936
147,9,0.05708
148,10,0.05578
149,11,0.05704
150,6,0.05828
151,7,0.05874
152,8,0.05648
153,9,0.06026
154,10,0.06158
155,7,0.05814
156,8,0.06352
157,9,0.06098
158,10,0.06022
159,11,0.06096
160,7,0.06728
161,8,0.06272
162,9,0.06052
163,10,0.06316
164,11,0.06184
165,8,0.06588
166,9,0.06362
167,10,0.06556
168,11,0.06692
169,12,0.069
170,8,0.06424
171,9,0.06494
172,10,0.06736
173,11,0.06776
174,12,0.06716
175,7,0.0701
176,8,0.06958
177,9,0.06534
178,10,0.0664
179,11,0.06836
180,8,0.0685
181,9,0.06894
182,10,0.07136
183,11,0.07198
184,12,0.07196
185,8,0.0725
186,9,0.07188
187,10,0.07614
188,11,0.07096
189,12,0.07476
190,9,0.07432
191,10,0.07482
192,11,0.09724
193,12,0.07614
194,13,0.07248
195,9,0.0765
196,10,0.07474
197,11,0.0747
198,12,0.07876
199,13,0.07506
200,8,0.07874
201,9,0.0767
202,10,0.0786
203,11,0.07634
204,12,0.0783
205,9,0.07684
206,10,0.083
207,11,0.08266
208,12,0.08244
209,13,0.0863
210,9,0.08364
211,10,0.08562
212,11,0.08618
213,12,0.08668
214,13,0.08456
215,10,0.08348
216,11,0.08414
217,12,0.08944
218,13,0.08572
219,14,0.086
220,10,0.0878
221,11,0.08772
222,12,0.13012
223,13,0.09762
224,14,0.08562
225,9,0.08964
226,10,0.08616
227,11,0.08634
228,12,0.09308
229,13,0.09284
230,10,0.08554
231,11,0.0927
232,12,0.09252
233,13,0.08788
234,14,0.09434
235,10,0.0928
236,11,0.08924
237,12,0.09362
238,13,0.09242
239,14,0.0955
240,11,0.09804
241,12,0.09574
242,13,0.09028
243,14,0.09202
244,15,0.0995
245,11,0.09784
246,12,0.10144
247,13,0.111
248,14,0.0995
249,15,0.1012
250,10,0.11404
251,11,0.1176
252,12,0.11116
253,13,0.10952
254,14,0.10238
255,11,0.10102
256,12,0.09682
257,13,0.09852
258,14,0.09976
259,15,0.09762
260,11,0.09868
261,12,0.10982
262,13,0.10614
263,14,0.10416
264,15,0.10198
265,12,0.10234
266,13,0.10196
267,14,0.10756
268,15,0.10328
269,16,0.1048
270,12,0.11772
271,13,0.10804
272,14,0.10494
273,15,0.1116
274,16,0.11054
275,11,0.11144
276,12,0.11002
277,13,0.10444
278,14,0.1063
279,15,0.10924
280,12,0.1074
281,13,0.11092
282,14,0.11448
283,15,0.12178
284,16,0.1312
285,12,0.1399
286,13,0.13706
287,14,0.13508
288,15,0.12374
289,16,0.1239
290,13,0.12802
291,14,0.13874
292,15,0.11652
293,16,0.11888
294,17,0.15722
295,13,0.3006
296,14,0.30542
297,15,0.29208
298,16,0.1248
299,17,0.12492
300,12,0.25162
301,13,0.3528
302,14,0.3938
303,15,0.12704
304,16,0.12594
305,13,0.3778
306,14,0.37766
307,15,0.34458
308,16,0.35838
309,17,0.33216
310,13,0.38114
311,14,0.36038
312,15,0.4061
313,16,0.46122
314,17,0.5226
315,14,0.5345
316,15,0.46374
317,16,0.44624
318,17,0.4677
319,18,0.44292
320,14,0.45812
321,15,0.1692
322,16,0.12614
323,17,0.12138
324,18,0.46422
325,13,0.46038
326,14,0.374
327,15,0.47696
328,16,0.47884
329,17,0.4371
330,14,0.46898
331,15,0.48224
332,16,0.48888
333,17,0.47038
334,18,0.25706
335,14,0.41428
336,15,0.15944
337,16,0.5032
338,17,0.5588
339,18,0.21416
340,15,0.34986
341,16,0.18512
342,17,0.36916
343,18,0.51366
344,19,0.50596
345,15,0.49962
346,16,0.47944
347,17,0.13796
348,18,0.45858
349,19,0.49992
350,14,0.50488
351,15,0.35482
352,16,0.13958
353,17,0.52934
354,18,0.13654
355,15,0.134
356,16,0.43938
357,17,0.3025
358,18,0.13656
359,19,0.36988
360,15,0.36626
361,16,0.34384
362,17,0.35702
363,18,0.1406
364,19,0.18364
365,16,0.284
366,17,0.27178
367,18,0.28956
