Amount,No. coins used,Time taken
1,1,0.00452
2,2,0.00362
3,3,0.0038
4,4,0.00438
5,5,0.00458
6,6,0.00494
7,7,0.0052
8,8,0.00568
9,9,0.00592
10,10,0.00622
11,11,0.0066
12,12,0.00712
13,13,0.00802
14,14,0.00748
15,15,0.00748
16,16,0.00778
17,17,0.00812
18,18,0.00842
19,19,0.00952
20,20,0.00892
21,21,0.00932
22,22,0.00952
23,23,0.00982
24,24,0.01018
25,25,0.01052
26,26,0.0104
27,27,0.01076
28,28,0.0111
29,29,0.01162
30,30,0.0117
31,31,0.01172
32,32,0.01188
33,33,0.0122
34,34,0.01264
35,35,0.01284
36,36,0.0132
37,37,0.01356
38,38,0.01278
39,39,0.01628
40,40,0.01294
41,1,0.02656
42,2,0.0128
43,1,0.02574
44,2,0.0302
45,3,0.0296
46,4,0.0306
47,5,0.02336
48,6,0.03122
49,7,0.03158
50,8,0.03244
51,9,0.03304
52,10,0.03408
53,11,0.02282
54,12,0.02424
55,13,0.02392
56,14,0.02878
57,15,0.02754
58,16,0.02876
59,17,0.0301
60,18,0.0319
61,19,0.03244
62,20,0.03498
63,21,0.03746
64,22,0.03868
65,23,0.04028
66,24,0.04806
67,25,0.05518
68,26,0.05108
69,27,0.04686
70,28,0.0439
71,29,0.05014
72,30,0.04518
73,31,0.04596
74,32,0.04474
75,33,0.04466
76,34,0.05296
77,35,0.04856
78,36,0.05236
79,37,0.09318
80,38,0.05588
81,39,0.03732
82,2,0.03516
83,3,0.0358
84,2,0.04476
85,3,0.05076
86,2,0.05136
87,3,0.04926
88,4,0.0504
89,5,0.05126
90,6,0.04854
91,7,0.04914
92,8,0.05114
93,9,0.04776
94,10,0.0484
95,11,0.04688
96,12,0.0472
97,13,0.05004
98,14,0.04622
99,15,0.04704
100,16,0.04728
101,1,0.04598
102,2,0.04768
103,1,0.04572
104,2,0.0455
105,3,0.04596
106,4,0.04564
107,5,0.04442
108,6,0.04744
109,7,0.04526
110,8,0.04398
111,9,0.04384
112,10,0.04474
113,11,0.04362
114,12,0.04422
115,13,0.04438
116,14,0.04238
117,15,0.04292
118,16,0.04286
119,17,0.0427
120,18,0.09564
121,19,0.06018
122,20,0.04462
123,3,0.04514
124,4,0.04576
125,3,0.04584
126,4,0.04894
127,3,0.04676
128,4,0.0474
129,3,0.04798
130,4,0.04842
131,5,0.05078
132,6,0.04924
133,7,0.04994
134,8,0.05056
135,9,0.05088
136,10,0.05142
137,11,0.05218
138,12,0.05258
139,13,0.05298
140,14,0.05358
141,15,0.05402
142,2,0.06328
143,3,0.05532
144,2,0.05568
145,3,0.05622
146,2,0.05676
147,3,0.05726
148,4,0.05784
149,5,0.05838
150,6,0.05882
151,7,0.06108
152,8,0.05986
153,9,0.06038
154,10,0.06092
155,11,0.06134
156,12,0.0636
157,13,0.06246
158,14,0.0628
159,15,0.0678
160,16,0.06464
161,17,0.0647
162,18,0.0652
163,19,0.0659
164,4,0.06618
165,5,0.06662
166,4,0.0975
167,5,0.06864
168,4,0.06878
169,5,0.06954
170,4,0.06994
171,5,0.07048
172,4,0.071
173,5,0.0716
174,6,0.07222
175,7,0.07834
176,8,0.0805
177,9,0.08954
178,10,0.09196
179,11,0.0988
180,12,0.10792
181,13,0.11062
182,14,0.11642
183,3,0.12092
184,4,0.12168
185,3,0.10934
186,4,0.0922
