Amount,No. coins used,Time taken
1,1,0.00126
2,1,0.00076
3,2,0.00052
4,1,0.0004
5,2,0.00048
6,2,0.0004
7,3,0.00046
8,1,0.00036
9,2,0.00044
10,2,0.0004
11,3,0.00046
12,2,0.00044
13,3,0.00068
14,3,0.00076
15,4,0.0008
16,1,0.00062
17,2,0.00066
18,2,0.00038
19,3,0.0003
20,2,0.0003
21,3,0.00036
22,3,0.00032
23,4,0.00036
24,2,0.00032
25,3,0.00036
26,3,0.00038
27,4,0.00038
28,3,0.00036
29,4,0.0004
30,4,0.00042
31,5,0.00038
32,1,0.0003
33,2,0.00038
34,2,0.0004
35,3,0.00036
36,2,0.00034
37,3,0.00036
38,3,0.00038
39,4,0.00038
40,2,0.00034
41,3,0.00034
42,3,0.00038
43,4,0.0004
44,3,0.00076
45,4,0.00074
46,4,0.00074
47,5,0.00078
48,2,0.00056
49,3,0.00054
50,3,0.0006
51,4,0.00054
52,3,0.00044
53,4,0.00052
54,4,0.0006
55,5,0.00048
56,3,0.00052
57,4,0.00054
58,4,0.00054
59,5,0.00058
60,4,0.00052
61,5,0.00066
62,5,0.0006
63,6,0.00068
64,2,0.00054
65,3,0.00056
66,3,0.0006
67,4,0.00066
68,3,0.00058
69,4,0.00068
70,4,0.00052
71,5,0.00054
72,3,0.00048
73,4,0.00054
74,4,0.00058
75,5,0.00048
76,4,0.00056
77,5,0.00048
78,5,0.00056
79,6,0.00056
80,3,0.00044
81,4,0.00054
82,4,0.00078
83,5,0.00086
84,4,0.00082
85,5,0.00084
86,5,0.0007
87,6,0.00078
88,4,0.00068
89,5,0.00076
90,5,0.00066
91,6,0.00088
92,5,0.00074
93,6,0.00082
94,6,0.00082
95,7,0.00082
96,3,0.00066
97,4,0.00072
98,4,0.0007
99,5,0.00072
100,4,0.00072
101,5,0.00074
102,5,0.00078
103,6,0.00076
104,4,0.00068
105,5,0.00076
106,5,0.00068
107,6,0.00068
108,5,0.00068
109,6,0.00076
110,6,0.00072
111,7,0.00044
112,4,0.00038
113,5,0.00036
114,5,0.00038
115,6,0.0004
116,5,0.00038
117,6,0.00042
118,6,0.00042
119,7,0.00038
120,5,0.00034
121,6,0.00038
122,6,0.00038
123,7,0.00038
124,6,0.00044
125,7,0.0004
126,7,0.0004
127,8,0.00068
128,4,0.00058
129,5,0.00068
130,5,0.00054
131,6,0.0006
132,5,0.00058
133,6,0.00056
134,6,0.0006
135,7,0.00056
136,5,0.00056
137,6,0.00058
138,6,0.00056
139,7,0.00062
140,6,0.00036
141,7,0.0004
142,7,0.0004
143,8,0.00048
144,5,0.00042
145,6,0.0004
146,6,0.0004
147,7,0.0004
148,6,0.00042
149,7,0.00074
150,7,0.00074
151,8,0.0008
152,6,0.00072
153,7,0.00076
154,7,0.00076
155,8,0.0008
156,7,0.0007
157,8,0.00082
158,8,0.00076
159,9,0.00096
160,5,0.00084
161,6,0.00092
162,6,0.0008
163,7,0.00082
164,6,0.00078
165,7,0.00042
166,7,0.0004
167,8,0.00044
168,6,0.0004
169,7,0.0004
170,7,0.00038
171,8,0.0004
172,7,0.00042
173,8,0.00048
174,8,0.00042
175,9,0.0005
176,6,0.00038
177,7,0.00046
178,7,0.0004
