Amount,No. coins used,Time taken
1,1,0.00148
2,1,0.00118
3,1,0.00096
4,1,0.0011
5,1,0.0009
6,1,0.001
7,1,0.00102
8,2,0.00124
9,2,0.0011
10,2,0.0011
11,2,0.00116
12,2,0.00102
13,2,0.00064
14,2,0.00072
15,3,0.00062
16,3,0.0007
17,3,0.00072
18,3,0.00074
19,3,0.00064
20,3,0.00068
21,3,0.00072
22,4,0.00072
23,4,0.0007
24,4,0.0007
25,4,0.00064
26,4,0.00064
27,4,0.00074
28,4,0.00074
29,5,0.00072
30,5,0.00066
31,5,0.00068
32,5,0.00066
33,5,0.00086
34,5,0.00072
35,5,0.00082
36,6,0.00076
37,6,0.0008
38,6,0.00074
39,6,0.00142
40,6,0.0016
41,6,0.00134
42,6,0.00164
43,7,0.00168
44,7,0.00164
45,7,0.0017
46,7,0.00154
47,7,0.0014
48,7,0.0016
49,7,0.00168
50,8,0.0016
51,8,0.00172
52,8,0.0016
53,8,0.00168
54,8,0.0016
55,8,0.00312
56,8,0.00176
57,9,0.00192
58,9,0.00188
59,9,0.00176
60,9,0.00178
61,9,0.00174
62,9,0.0017
63,9,0.0018
64,10,0.00186
65,10,0.00178
66,10,0.00192
67,10,0.00174
68,10,0.00198
69,10,0.0019
70,10,0.0019
71,11,0.00198
72,11,0.00198
73,11,0.00198
74,11,0.00196
75,11,0.00188
76,11,0.0019
77,11,0.002
78,12,0.00212
79,12,0.00194
80,12,0.002
81,12,0.00214
82,12,0.00216
83,12,0.00194
84,12,0.00306
85,13,0.00202
86,13,0.00214
87,13,0.00204
88,13,0.0019
89,13,0.00188
90,13,0.0019
91,13,0.00196
92,14,0.00206
93,14,0.00186
94,14,0.00194
95,14,0.002
96,14,0.00202
97,14,0.00196
98,14,0.00216
99,15,0.00214
100,15,0.00214
