Amount,No. coins used,Time taken
1,1,0.00044
2,1,0.00032
3,2,0.0003
4,2,0.00034
5,1,0.00026
6,2,0.0003
7,2,0.0003
8,3,0.00032
9,3,0.00038
10,1,0.00026
11,2,0.00036
12,2,0.00032
13,3,0.00036
14,3,0.00034
15,2,0.0003
16,3,0.00032
17,3,0.00038
18,4,0.0004
19,4,0.0004
20,1,0.00038
21,2,0.0003
22,2,0.00036
23,3,0.00032
24,3,0.00034
25,1,0.0003
26,2,0.0003
27,2,0.0003
28,3,0.00034
29,3,0.00032
30,2,0.0003
31,3,0.0003
32,3,0.0003
33,4,0.00032
34,4,0.00036
35,2,0.0003
36,3,0.00034
37,3,0.00032
38,4,0.00032
39,4,0.0004
40,3,0.00032
41,4,0.00034
42,4,0.00034
43,5,0.00036
44,5,0.00044
45,2,0.00032
46,3,0.0004
47,3,0.00032
48,4,0.00036
49,4,0.00036
50,1,0.00026
51,2,0.00036
52,2,0.00032
53,3,0.00034
54,3,0.00032
55,2,0.0003
56,3,0.00032
57,3,0.00032
58,4,0.00042
59,4,0.0004
60,2,0.00032
61,3,0.00044
62,3,0.00044
63,4,0.00036
64,4,0.00036
65,3,0.00036
66,4,0.00038
67,4,0.00036
68,5,0.0004
69,5,0.0004
70,2,0.00036
71,3,0.00032
72,3,0.00034
73,4,0.0004
74,4,0.00034
75,2,0.00036
76,3,0.00042
77,3,0.00032
78,4,0.00034
79,4,0.00036
80,3,0.00032
81,4,0.00034
82,4,0.00036
83,5,0.00038
84,5,0.00038
85,3,0.0004
86,4,0.00036
87,4,0.00032
88,5,0.00038
89,5,0.00038
90,4,0.00036
91,5,0.00036
92,5,0.00036
93,6,0.00038
94,6,0.0004
95,3,0.00032
96,4,0.0004
97,4,0.00038
98,5,0.00042
99,5,0.00046
100,2,0.00032
101,3,0.00036
102,3,0.00044
103,4,0.00034
104,4,0.00042
105,3,0.00038
106,4,0.00032
107,4,0.00042
108,5,0.0004
109,5,0.0004
110,3,0.0003
111,4,0.00038
112,4,0.00046
113,5,0.0004
114,5,0.00038
115,4,0.00038
116,5,0.00042
117,5,0.0004
118,6,0.00046
119,6,0.00048
120,3,0.00034
121,4,0.00038
122,4,0.00038
123,5,0.00052
124,5,0.00042
125,3,0.0003
126,4,0.00038
127,4,0.00036
128,5,0.00034
129,5,0.00038
130,4,0.00038
131,5,0.00038
132,5,0.00036
133,6,0.00038
134,6,0.00042
135,4,0.00034
136,5,0.00038
137,5,0.00036
138,6,0.00042
139,6,0.00042
140,5,0.00032
141,6,0.00042
142,6,0.00042
143,7,0.00042
144,7,0.00044
145,4,0.00036
146,5,0.00038
147,5,0.00042
148,6,0.0004
149,6,0.00042
150,3,0.0004
151,4,0.00038
152,4,0.00032
153,5,0.00038
154,5,0.0004
155,4,0.00036
156,5,0.00036
157,5,0.00036
158,6,0.0004
159,6,0.00038
160,4,0.00036
161,5,0.00044
162,5,0.00038
163,6,0.00036
164,6,0.0004
165,5,0.00036
166,6,0.0004
167,6,0.00042
168,7,0.00044
169,7,0.00046
170,4,0.00034
171,5,0.00038
172,5,0.00034
173,6,0.00038
174,6,0.0004
175,4,0.00034
176,5,0.00036
177,5,0.00034
178,6,0.0004
179,6,0.0004
180,5,0.0004
181,6,0.0004
182,6,0.00038
183,7,0.00042
184,7,0.00052
185,5,0.00038
186,6,0.00038
187,6,0.0004
188,7,0.00038
189,7,0.0004
190,6,0.00036
191,7,0.00038
192,7,0.00046
193,8,0.00048
194,8,0.00044
195,5,0.00036
196,6,0.00046
197,6,0.00044
198,7,0.00042
199,7,0.0005
200,4,0.00044
201,5,0.0004
202,5,0.00096
203,6,0.00044
204,6,0.00044
205,5,0.00038
206,6,0.0004
207,6,0.00042
208,7,0.00042
209,7,0.0005
210,5,0.00034
211,6,0.00044
212,6,0.00042
213,7,0.00044
214,7,0.00044
215,6,0.00042
216,7,0.00042
217,7,0.0004
218,8,0.00046
219,8,0.0005
220,5,0.00034
221,6,0.00044
222,6,0.00044
223,7,0.00044
224,7,0.00046
225,5,0.00038
226,6,0.00042
227,6,0.00042
228,7,0.00044
229,7,0.00044
230,6,0.0004
231,7,0.00044
232,7,0.00044
233,8,0.00046
234,8,0.0005
235,6,0.00042
236,7,0.00044
237,7,0.00046
238,8,0.00048
239,8,0.00048
240,7,0.00044
241,8,0.00048
242,8,0.00056
243,9,0.00052
244,9,0.00056
245,6,0.00042
246,7,0.00052
247,7,0.00048
248,8,0.00054
249,8,0.0005
250,5,0.00052
251,6,0.00044
252,6,0.00044
253,7,0.00044
254,7,0.0005
255,6,0.00046
256,7,0.00054
257,7,0.00048
258,8,0.00058
259,8,0.00062
260,6,0.0005
261,7,0.00052
262,7,0.0005
263,8,0.00054
264,8,0.00058
265,7,0.0005
266,8,0.00056
267,8,0.00054
268,9,0.00052
269,9,0.00058
270,6,0.00046
271,7,0.00052
272,7,0.0005
273,8,0.00054
274,8,0.00052
275,6,0.00046
276,7,0.00052
277,7,0.00048
278,8,0.00056
279,8,0.0006
280,7,0.00058
281,8,0.00056
282,8,0.00058
283,9,0.00056
284,9,0.0006
285,7,0.00054
286,8,0.00054
287,8,0.00064
288,9,0.00058
289,9,0.0006
290,8,0.00056
291,9,0.00064
292,9,0.0006
293,10,0.00064
294,10,0.00066
295,7,0.00056
296,8,0.00056
297,8,0.0006
298,9,0.00058
299,9,0.0006
300,6,0.00064
301,7,0.00054
302,7,0.00054
303,8,0.00062
304,8,0.0006
305,7,0.00052
306,8,0.00064
307,8,0.00062
308,9,0.00062
309,9,0.00062
310,7,0.00068
311,8,0.00066
312,8,0.0006
313,9,0.00062
314,9,0.00068
315,8,0.00054
316,9,0.00062
317,9,0.00062
318,10,0.00066
319,10,0.0007
320,7,0.0005
321,8,0.00054
322,8,0.00054
323,9,0.00062
324,9,0.00062
325,7,0.00052
326,8,0.00064
327,8,0.00064
328,9,0.00062
329,9,0.0006
330,8,0.00052
331,9,0.00058
332,9,0.00058
333,10,0.0006
334,10,0.00062
335,8,0.00056
336,9,0.00062
337,9,0.00058
338,10,0.00058
339,10,0.00066
340,9,0.0006
341,10,0.00064
342,10,0.00064
343,11,0.00064
344,11,0.00068
345,8,0.00052
346,9,0.00058
347,9,0.0006
348,10,0.00058
349,10,0.00064
350,7,0.0006
351,8,0.00056
352,8,0.00064
353,9,0.00054
354,9,0.00058
