Amount,No. coins used,Time taken
1,1,0.00048
2,2,0.00036
3,3,0.00034
4,4,0.00038
5,5,0.00044
6,1,0.00036
7,1,0.00028
8,2,0.0003
9,3,0.0003
10,4,0.00042
11,5,0.00046
12,6,0.00038
13,2,0.00028
14,2,0.00032
15,3,0.00032
16,4,0.00036
17,5,0.00044
18,6,0.0004
19,7,0.00046
20,3,0.00232
21,3,0.00036
22,4,0.00036
23,5,0.00038
24,6,0.00042
25,7,0.00048
26,8,0.00044
27,4,0.0004
28,4,0.00034
29,5,0.00042
30,6,0.00042
31,7,0.00042
32,8,0.00046
33,9,0.00052
34,5,0.00044
35,5,0.00044
36,6,0.00038
37,7,0.00042
38,8,0.00046
39,9,0.0005
40,10,0.00052
41,6,0.00038
42,6,0.00046
43,7,0.00046
44,8,0.00046
45,9,0.00048
46,10,0.00056
47,11,0.00054
48,7,0.0004
49,7,0.00042
50,8,0.00042
51,9,0.0005
52,10,0.00054
53,11,0.00054
54,12,0.00056
55,8,0.00038
56,8,0.00046
57,9,0.0005
58,10,0.00054
59,11,0.00058
60,12,0.00056
61,13,0.00058
62,9,0.0005
63,9,0.0005
64,10,0.00048
65,11,0.00056
66,12,0.00058
67,13,0.00058
68,14,0.00062
69,1,0.00026
70,2,0.00028
71,3,0.00034
72,4,0.00034
73,5,0.00044
74,6,0.0004
75,2,0.00038
76,2,0.00032
77,3,0.00034
78,4,0.00032
79,5,0.0004
80,6,0.00046
81,7,0.00046
82,3,0.00036
83,3,0.00032
84,4,0.00038
85,5,0.00044
86,6,0.00042
87,7,0.0004
88,8,0.00042
89,4,0.0003
90,4,0.00034
91,5,0.0004
92,6,0.00046
93,7,0.00044
94,8,0.00046
95,9,0.00046
96,5,0.00036
97,5,0.0004
98,6,0.00042
99,7,0.00052
100,8,0.00042
101,9,0.0005
102,10,0.00052
103,6,0.00042
104,6,0.00038
105,7,0.00038
106,8,0.00046
107,9,0.0005
108,10,0.00052
109,11,0.00052
110,7,0.00042
111,7,0.00048
112,8,0.00046
113,9,0.00048
114,10,0.00052
115,11,0.0005
116,12,0.00054
117,8,0.00042
118,8,0.00046
119,9,0.00048
120,10,0.0005
121,11,0.00054
122,12,0.00058
123,13,0.00058
124,9,0.00044
125,9,0.0005
126,10,0.00054
127,11,0.00054
128,12,0.00066
129,13,0.00056
130,14,0.00062
131,10,0.00048
132,10,0.00052
133,11,0.00052
134,12,0.00056
135,13,0.00058
136,14,0.00058
137,15,0.0006
138,2,0.0003
139,3,0.00034
140,4,0.00044
141,5,0.0004
142,6,0.00048
143,7,0.00044
144,3,0.0003
145,3,0.00036
146,4,0.00038
147,5,0.00038
148,6,0.00042
149,7,0.00046
150,8,0.00044
151,4,0.00036
152,4,0.00032
153,5,0.0004
154,6,0.00044
155,7,0.00044
156,8,0.00046
157,9,0.0005
158,5,0.00036
159,5,0.00042
160,6,0.00042
161,7,0.00046
162,8,0.00044
163,9,0.00046
164,10,0.00052
165,6,0.00034
166,6,0.00046
167,7,0.00042
168,8,0.00046
169,9,0.00048
170,10,0.0005
171,11,0.0005
172,7,0.00038
173,7,0.00044
174,8,0.00048
175,9,0.00044
176,10,0.00054
177,11,0.00054
178,12,0.00056
179,8,0.00044
180,8,0.00046
181,9,0.0005
182,10,0.00046
183,11,0.00054
