Amount,No. coins used,Time taken
1,1,0.00104
2,2,0.00074
3,3,0.00076
4,1,0.00062
5,2,0.00064
6,3,0.00066
7,4,0.00074
8,2,0.00066
9,1,0.00056
10,2,0.00064
11,3,0.0007
12,4,0.00072
13,2,0.00064
14,3,0.00066
15,4,0.0007
16,1,0.00056
17,2,0.00056
18,3,0.00062
19,4,0.00066
20,2,0.00056
21,3,0.00062
22,4,0.00074
23,5,0.0008
24,3,0.00062
25,1,0.00054
26,2,0.00062
27,3,0.0006
28,4,0.00066
29,2,0.0006
30,3,0.00066
31,4,0.00066
32,5,0.00068
33,3,0.00064
34,2,0.0006
35,3,0.0006
36,1,0.00058
37,2,0.00056
38,3,0.00062
39,4,0.00064
40,2,0.00056
41,3,0.00062
42,4,0.00064
43,5,0.00072
44,3,0.00062
45,2,0.00058
46,3,0.0006
47,4,0.00066
48,5,0.00076
49,1,0.00056
50,2,0.00116
51,3,0.00084
52,4,0.00082
53,2,0.0017
54,3,0.00176
55,4,0.00182
56,5,0.00084
57,3,0.00074
58,2,0.00062
59,3,0.00074
60,4,0.0007
61,5,0.00082
62,3,0.00078
63,4,0.00072
64,5,0.00078
65,2,0.00064
66,3,0.00068
67,4,0.00072
68,5,0.00076
69,3,0.00066
70,4,0.00072
71,5,0.00078
72,6,0.00088
73,4,0.00074
74,2,0.00064
75,3,0.00068
76,4,0.00068
77,5,0.0008
78,3,0.00064
79,4,0.0007
80,5,0.00072
81,6,0.00082
82,4,0.00066
83,3,0.0007
84,4,0.00068
85,2,0.0006
86,3,0.00062
87,4,0.00066
88,5,0.00072
89,3,0.0006
90,4,0.00066
91,5,0.0007
92,6,0.00076
93,4,0.00064
94,3,0.00062
95,4,0.00066
96,5,0.0007
97,6,0.00074
98,2,0.00056
99,3,0.00064
100,4,0.00068
101,5,0.00072
102,3,0.0006
103,4,0.00066
104,5,0.00068
105,6,0.00076
106,4,0.00068
107,3,0.00066
108,4,0.00066
109,5,0.00072
110,6,0.0008
111,4,0.00066
112,5,0.0007
113,6,0.00076
114,3,0.00062
115,4,0.00068
116,5,0.0007
117,6,0.00076
118,4,0.00066
119,5,0.0007
120,6,0.0008
121,7,0.00084
122,5,0.00072
123,3,0.00064
124,4,0.00068
125,5,0.00074
126,6,0.00078
127,4,0.00068
128,5,0.00072
129,6,0.0008
130,7,0.00082
131,5,0.00072
132,4,0.00068
133,5,0.00074
134,3,0.00064
135,4,0.00068
136,5,0.00074
137,6,0.00078
138,4,0.00064
139,5,0.00072
140,6,0.00078
141,7,0.00082
142,5,0.00072
143,4,0.00068
144,5,0.0007
145,6,0.00076
146,7,0.0008
147,3,0.00062
148,4,0.00068
149,5,0.00072
150,6,0.00074
151,4,0.00066
152,5,0.00072
153,6,0.00076
154,7,0.0008
155,5,0.00072
156,4,0.00066
157,5,0.00074
158,6,0.00076
159,7,0.0008
160,5,0.0007
161,6,0.00074
162,7,0.00078
163,4,0.00068
164,5,0.00072
165,6,0.00074
166,7,0.0008
167,5,0.0007
168,6,0.00076
169,7,0.00082
170,8,0.00092
171,6,0.00078
172,4,0.00068
173,5,0.0007
174,6,0.00074
175,7,0.00082
176,5,0.00072
177,6,0.00078
178,7,0.00082
179,8,0.00088
180,6,0.00076
181,5,0.00072
182,6,0.00074
183,4,0.0007
184,5,0.0007
185,6,0.00076
186,7,0.0008
187,5,0.0007
188,6,0.00076
189,7,0.0008
190,8,0.00084
191,6,0.00074
192,5,0.00072
193,6,0.00076
194,7,0.0008
195,8,0.00088
196,4,0.0007
197,5,0.00074
198,6,0.00076
199,7,0.00082
200,5,0.00072
201,6,0.00078
202,7,0.00082
203,8,0.00084
204,6,0.00076
205,5,0.00072
206,6,0.00078
207,7,0.0008
208,8,0.00086
209,6,0.00076
210,7,0.0008
211,8,0.00086
212,5,0.00074
213,6,0.00076
214,7,0.0008
215,8,0.00096
216,6,0.00078
217,7,0.00084
218,8,0.00092
219,9,0.00086
220,7,0.00078
221,5,0.00072
222,6,0.00076
223,7,0.00078
224,8,0.00082
225,6,0.00074
226,7,0.00076
227,8,0.0009
228,9,0.00086
229,7,0.0013
230,6,0.00098
231,7,0.00086
232,5,0.0008
233,6,0.00078
234,7,0.0008
235,8,0.0009
236,6,0.00184
237,7,0.002
238,8,0.00196
239,9,0.00212
240,7,0.00186
241,6,0.0018
242,7,0.00186
243,8,0.00198
244,9,0.00166
245,5,0.00066
246,6,0.00072
247,7,0.00074
248,8,0.0008
249,6,0.0007
250,7,0.00076
251,8,0.00078
252,9,0.00082
253,7,0.001
254,6,0.00078
255,7,0.0008
256,8,0.00082
257,9,0.00094
258,7,0.00132
259,8,0.00096
260,9,0.00102
261,6,0.00082
262,7,0.00082
263,8,0.00086
264,9,0.00092
265,7,0.0008
266,8,0.00082
267,9,0.00086
268,10,0.0009
269,8,0.00084
270,6,0.00076
271,7,0.00078
272,8,0.00082
273,9,0.00086
274,7,0.00078
275,8,0.00082
276,9,0.00088
277,10,0.00096
278,8,0.00084
279,7,0.00078
280,8,0.00086
281,6,0.00074
282,7,0.00078
283,8,0.00084
284,9,0.0009
285,7,0.00076
286,8,0.00082
287,9,0.0009
288,10,0.00092
289,8,0.00082
290,7,0.00074
291,8,0.00088
292,9,0.00088
293,10,0.0009
294,6,0.00076
295,7,0.0008
296,8,0.00084
297,9,0.00086
298,7,0.00076
299,8,0.00086
300,9,0.00094
301,10,0.0009
302,8,0.00134
303,7,0.0009
304,8,0.00092
305,9,0.001
306,10,0.00106
307,8,0.00094
308,9,0.00092
309,10,0.00096
310,7,0.00084
311,8,0.0009
312,9,0.00094
313,10,0.00094
314,8,0.00088
315,9,0.00092
316,10,0.00136
317,11,0.0011
318,9,0.00096
319,7,0.00086
320,8,0.00092
321,9,0.00092
322,10,0.00096
323,8,0.00088
324,9,0.00092
325,10,0.00096
326,11,0.00096
327,9,0.00094
328,8,0.0009
329,9,0.00086
330,7,0.00084
331,8,0.00084
332,9,0.0009
333,10,0.00098
334,8,0.00084
335,9,0.00088
336,10,0.00094
337,11,0.00098
338,9,0.0009
339,8,0.00082
340,9,0.0067
341,10,0.00102
342,11,0.001
343,7,0.00084
344,8,0.00086
345,9,0.00094
346,10,0.00132
347,8,0.00096
348,9,0.001
349,10,0.00104
350,11,0.00104
351,9,0.0009
352,8,0.00086
353,9,0.00092
354,10,0.00094
355,11,0.00106
356,9,0.00092
357,10,0.00098
358,11,0.001
359,8,0.0009
360,9,0.00092
361,10,0.00096
362,11,0.00102
363,9,0.00094
364,10,0.00094
365,11,0.001
366,12,0.00108
367,10,0.00104
368,8,0.00128
369,9,0.00102
370,10,0.00098
371,11,0.00104
372,9,0.001
373,10,0.001
374,11,0.00102
375,12,0.00112
376,10,0.00098
377,9,0.00092
378,10,0.00098
379,8,0.00096
380,9,0.00096
381,10,0.001
382,11,0.00098
383,9,0.00092
384,10,0.0015
385,11,0.00122
386,12,0.00114
387,10,0.00102
388,9,0.00142
389,10,0.00184
390,11,0.00146
391,12,0.00144
392,8,0.00126
393,9,0.00124
394,10,0.00124
395,11,0.00128
396,9,0.00118
397,10,0.00126
398,11,0.0014
399,12,0.00136
400,10,0.00106
401,9,0.00088
402,10,0.00096
403,11,0.00106
404,12,0.00366
405,10,0.00094
406,11,0.00098
407,12,0.00106
408,9,0.00094
409,10,0.00096
410,11,0.00102
411,12,0.00106
412,10,0.00096
413,11,0.00098
414,12,0.00104
