Amount,No. coins used,Time taken
1,1,0.0004
2,2,0.00032
3,3,0.00032
4,4,0.00038
5,5,0.00042
6,6,0.00042
7,7,0.00046
8,8,0.0005
9,9,0.0005
10,10,0.00054
11,11,0.00054
12,12,0.00052
13,13,0.00054
14,14,0.00058
15,15,0.00058
16,16,0.00064
17,17,0.0007
18,18,0.0007
19,19,0.00072
20,20,0.00072
21,21,0.00074
22,22,0.00078
23,23,0.00082
24,24,0.00082
25,25,0.00076
26,26,0.00088
27,27,0.00094
28,28,0.00088
29,29,0.00096
30,30,0.001
31,31,0.00098
32,32,0.00094
33,33,0.001
34,34,0.001
35,35,0.00116
36,36,0.00102
37,37,0.0011
38,38,0.00108
39,39,0.00124
40,40,0.00122
41,1,0.0003
42,2,0.00028
43,1,0.0003
44,2,0.00028
45,3,0.00032
46,4,0.00032
47,5,0.00044
48,6,0.00042
49,7,0.00048
50,8,0.0005
51,9,0.00046
52,10,0.00048
53,11,0.00056
54,12,0.0006
55,13,0.00054
56,14,0.00058
57,15,0.00058
58,16,0.00066
59,17,0.00064
60,18,0.00066
61,19,0.00068
62,20,0.00074
63,21,0.00072
64,22,0.00078
65,23,0.00074
66,24,0.0008
67,25,0.00086
68,26,0.00084
69,27,0.00086
70,28,0.00082
71,29,0.00088
72,30,0.00096
73,31,0.00094
74,32,0.00096
75,33,0.00096
76,34,0.001
77,35,0.00104
78,36,0.00114
79,37,0.0011
80,38,0.0012
81,39,0.00114
82,40,0.00112
83,41,0.00112
84,2,0.00034
85,3,0.00028
86,2,0.00036
87,3,0.00036
88,4,0.00038
89,5,0.00048
90,6,0.00046
91,7,0.00044
92,8,0.00044
93,9,0.0005
94,10,0.0005
95,11,0.00056
96,12,0.00056
97,13,0.00062
98,14,0.0006
99,15,0.00062
100,16,0.00066
101,1,0.00028
102,2,0.00034
103,1,0.00034
104,2,0.00034
105,3,0.0004
106,4,0.00038
107,5,0.0004
108,6,0.00044
109,7,0.0005
110,8,0.00056
111,9,0.0005
112,10,0.0006
113,11,0.00062
114,12,0.0006
115,13,0.00064
116,14,0.00064
117,15,0.00068
118,16,0.00076
119,17,0.00076
120,18,0.00074
121,19,0.00084
122,20,0.0008
123,21,0.00086
124,22,0.00086
125,23,0.00088
126,24,0.0009
127,25,0.00094
128,26,0.00098
129,27,0.001
130,28,0.00108
131,29,0.00108
132,30,0.00108
133,31,0.0011
134,32,0.00116
135,33,0.00124
136,34,0.00124
137,35,0.0013
138,36,0.00142
139,37,0.00132
140,38,0.00134
141,39,0.00146
142,40,0.00148
143,41,0.00162
144,2,0.00042
145,3,0.00036
146,2,0.0003
147,3,0.00048
148,4,0.00042
149,5,0.00052
150,6,0.0005
151,7,0.00056
152,8,0.00052
153,9,0.0006
154,10,0.00064
155,11,0.00068
156,12,0.00068
157,13,0.0007
158,14,0.00072
159,15,0.00074
160,16,0.0009
161,17,0.00082
162,18,0.00082
163,19,0.00086
164,20,0.00086
165,21,0.00088
166,22,0.00096
167,23,0.00094
168,24,0.00096
169,25,0.00102
170,26,0.00106
171,27,0.00102
172,28,0.00118
173,29,0.00122
174,30,0.00118
175,31,0.00118
176,32,0.0012
177,33,0.0012
178,34,0.00136
179,35,0.00138
180,36,0.00148
181,37,0.00144
182,38,0.00132
183,39,0.0014
184,40,0.00142
185,41,0.00136
186,42,0.00144
187,3,0.00038
188,4,0.00042
189,3,0.00038
190,4,0.00048
191,5,0.00046
192,6,0.00052
193,7,0.00058
194,8,0.00058
195,9,0.00056
196,10,0.00058
197,11,0.0006
198,12,0.00066
199,13,0.00066
200,14,0.00066
201,15,0.00072
202,16,0.00076
203,17,0.00074
204,2,0.00034
205,3,0.00034
206,2,0.00044
207,3,0.00038
208,4,0.00042
209,5,0.00048
210,6,0.00044
211,7,0.0005
212,8,0.00052
213,9,0.00054
214,10,0.00056
215,11,0.00056
216,12,0.0006
217,13,0.00064
218,14,0.00062
219,15,0.00064
220,16,0.00064
221,17,0.0007
222,18,0.00074
223,19,0.00072
224,20,0.0008
225,21,0.00076
226,22,0.00086
227,23,0.00086
228,24,0.00086
229,25,0.00084
230,26,0.00088
231,27,0.00096
232,28,0.00094
233,29,0.00094
234,30,0.00096
235,31,0.00092
