Amount,No. coins used,Time taken
1,1,0.00178
2,1,0.00116
3,2,0.0012
4,1,0.00144
5,2,0.00164
6,2,0.00186
7,3,0.00208
8,1,0.00238
9,2,0.0027
10,2,0.003
11,3,0.00344
12,2,0.00364
13,3,0.00386
14,3,0.0042
15,4,0.00446
16,1,0.00492
17,2,0.00524
18,2,0.00564
19,3,0.0058
20,2,0.00618
21,3,0.00654
22,3,0.00688
23,4,0.00708
24,2,0.0076
25,3,0.00776
26,3,0.00816
27,4,0.00846
28,3,0.00882
29,4,0.00914
30,4,0.00936
31,5,0.00982
32,1,0.01014
33,2,0.01066
34,2,0.0108
35,3,0.01126
36,2,0.01152
37,3,0.01192
38,3,0.0122
39,4,0.02828
40,2,0.01302
41,3,0.01342
42,3,0.02434
43,4,0.02992
44,3,0.0244
45,4,0.01518
46,4,0.01538
47,5,0.01596
48,2,0.01576
49,3,0.01658
50,3,0.03006
51,4,0.01716
52,3,0.01744
53,4,0.0178
54,4,0.0185
55,5,0.0188
56,3,0.01866
57,4,0.01958
58,4,0.01956
59,5,0.02024
60,4,0.0201
61,5,0.02078
62,5,0.0215
63,6,0.0214
64,2,0.02234
65,3,0.02206
66,3,0.02258
67,4,0.02276
68,3,0.02308
69,4,0.02372
70,4,0.02382
71,5,0.02432
72,3,0.02536
73,4,0.02594
74,4,0.02674
75,5,0.02784
76,4,0.02872
77,5,0.03004
78,5,0.03058
79,6,0.03206
80,3,0.03514
81,4,0.03458
82,4,0.03614
83,5,0.03534
84,4,0.03458
85,5,0.0356
86,5,0.03578
87,6,0.03516
88,4,0.03506
89,5,0.03358
90,5,0.03534
91,6,0.0682
92,5,0.03422
93,6,0.0334
94,6,0.03294
95,7,0.03494
96,3,0.04702
97,4,0.11206
98,4,0.07436
99,5,0.03766
100,4,0.0414
101,5,0.03716
102,5,0.03566
103,6,0.0382
104,4,0.03746
105,5,0.03758
106,5,0.03774
107,6,0.04374
108,5,0.03984
109,6,0.06538
110,6,0.04986
111,7,0.05794
112,4,0.04798
113,5,0.05368
114,5,0.0569
115,6,0.04346
116,5,0.0472
117,6,0.05156
118,6,0.0434
119,7,0.04222
120,5,0.0427
121,6,0.05522
122,6,0.04222
123,7,0.05056
124,6,0.04584
125,7,0.04394
126,7,0.04476
127,8,0.04406
128,4,0.04418
129,5,0.05396
130,5,0.04482
131,6,0.04888
132,5,0.05974
133,6,0.0461
134,6,0.04758
135,7,0.07846
136,5,0.05258
137,6,0.04754
138,6,0.0472
139,7,0.04866
140,6,0.05114
141,7,0.04914
142,7,0.05112
143,8,0.04952
144,5,0.04976
145,6,0.05062
146,6,0.05108
147,7,0.05064
148,6,0.05236
149,7,0.05122
150,7,0.05362
151,8,0.05202
152,6,0.0525
153,7,0.05374
154,7,0.0533
155,8,0.05412
156,7,0.05336
157,8,0.05562
158,8,0.0562
159,9,0.0546
160,5,0.05408
161,6,0.0526
162,6,0.05228
163,7,0.05554
164,6,0.0534
165,7,0.0537
166,7,0.05538
167,8,0.05384
168,6,0.0544
169,7,0.05794
170,7,0.0574
171,8,0.0568
172,7,0.05828
173,8,0.06848
174,8,0.05796
175,9,0.06236
176,6,0.05722
177,7,0.06704
178,7,0.06158
179,8,0.06844
180,7,0.06558
181,8,0.06362
182,8,0.06296
183,9,0.06484
184,7,0.06666
185,8,0.06492
186,8,0.0646
187,9,0.07542
188,8,0.06798
189,9,0.06742
190,9,0.07236
191,10,0.0653
192,6,0.08354
193,7,0.09828
194,7,0.07282
195,8,0.09252
196,7,0.08684
197,8,0.08964
198,8,0.0671
199,9,0.06912
200,7,0.07118
201,8,0.0716
202,8,0.07038
203,9,0.0708
204,8,0.07188
205,9,0.07434
206,9,0.07186
207,10,0.07184
208,7,0.07216
209,8,0.07454
210,8,0.07294
211,9,0.07456
212,8,0.07636
213,9,0.07706
214,9,0.084
215,10,0.07424
216,8,0.07494
217,9,0.07688
218,9,0.0755
219,10,0.07746
220,9,0.07598
221,10,0.07772
222,10,0.07662
223,11,0.07708
224,7,0.07706
225,8,0.08146
