Amount,No. coins used,Time taken
1,1,0.00168
2,1,0.00118
3,1,0.00126
4,1,0.00158
5,1,0.00192
6,1,0.00222
7,1,0.0027
8,2,0.00306
9,2,0.00346
10,2,0.00388
11,2,0.00436
12,2,0.00472
13,2,0.00514
14,2,0.0056
15,3,0.00602
16,3,0.00634
17,3,0.00668
18,3,0.00722
19,3,0.00766
20,3,0.00798
21,3,0.0084
22,4,0.0089
23,4,0.00934
24,4,0.0095
25,4,0.01012
26,4,0.01046
27,4,0.0267
28,4,0.01132
29,5,0.01166
30,5,0.01212
31,5,0.01258
32,5,0.01296
33,5,0.01316
34,5,0.01358
35,5,0.01422
36,6,0.01462
37,6,0.01486
38,6,0.0154
39,6,0.01586
40,6,0.01628
41,6,0.0164
42,6,0.01696
43,7,0.01748
44,7,0.01784
45,7,0.01822
46,7,0.01898
47,7,0.01866
48,7,0.01944
49,7,0.0208
50,8,0.02026
51,8,0.02058
52,8,0.02088
53,8,0.02158
54,8,0.02216
55,8,0.02164
56,8,0.02242
57,9,0.02334
58,9,0.02352
59,9,0.02392
60,9,0.02472
61,9,0.02484
62,9,0.02536
63,9,0.0251
64,10,0.02614
65,10,0.02636
66,10,0.0268
67,10,0.03292
68,10,0.0283
69,10,0.02816
70,10,0.0278
71,11,0.0283
72,11,0.02874
73,11,0.0295
74,11,0.03016
75,11,0.03002
76,11,0.03028
77,11,0.03126
78,12,0.0326
79,12,0.03216
80,12,0.03212
81,12,0.03358
82,12,0.0347
83,12,0.03606
84,12,0.05036
85,13,0.03756
86,13,0.03766
87,13,0.03838
88,13,0.03864
89,13,0.04238
90,13,0.05122
91,13,0.0491
92,14,0.04418
93,14,0.04454
94,14,0.04428
95,14,0.04456
96,14,0.0432
97,14,0.04328
98,14,0.04388
99,15,0.04604
100,15,0.04176
