Amount,No. coins used,Time taken
1,1,0.00272
2,2,0.00204
3,3,0.00194
4,4,0.00244
5,5,0.00222
6,6,0.00242
7,7,0.0026
8,8,0.0029
9,9,0.00296
10,1,0.00336
11,2,0.00366
12,3,0.00382
13,4,0.00394
14,5,0.00442
15,6,0.00456
16,7,0.00486
17,8,0.00496
18,9,0.00532
19,10,0.00554
20,2,0.00838
21,3,0.00608
22,4,0.00646
23,5,0.00658
24,6,0.00684
25,7,0.0071
26,8,0.00746
27,9,0.0076
28,10,0.00792
29,11,0.03222
30,3,0.0085
31,4,0.00866
32,5,0.00896
33,6,0.0092
34,7,0.0095
35,8,0.01304
36,9,0.01288
37,10,0.01244
38,11,0.0125
39,12,0.01372
40,4,0.01382
41,5,0.01314
42,6,0.0126
43,7,0.01254
44,8,0.01282
45,9,0.01382
46,10,0.01322
47,11,0.0164
48,12,0.0139
49,13,0.01404
50,5,0.01422
51,6,0.01458
52,7,0.01798
53,8,0.01564
54,9,0.01614
55,10,0.01674
56,11,0.0167
57,12,0.0182
58,13,0.01678
59,14,0.01764
60,6,0.01754
61,7,0.01786
62,8,0.01958
63,9,0.02246
64,10,0.02042
65,11,0.02056
66,12,0.01982
67,13,0.0193
68,14,0.01914
69,15,0.01976
70,7,0.01986
71,8,0.0209
72,9,0.02062
73,10,0.02026
74,11,0.02008
75,12,0.0204
76,13,0.02058
77,14,0.02166
78,15,0.02122
79,16,0.02134
80,8,0.02152
81,9,0.02202
82,10,0.02198
83,11,0.02252
84,12,0.0226
85,13,0.02302
86,14,0.02464
87,15,0.0245
88,16,0.0245
89,17,0.02506
90,9,0.02512
91,10,0.02448
92,11,0.02472
93,12,0.02504
94,13,0.02878
95,14,0.02672
96,15,0.04184
97,16,0.07014
98,17,0.0556
99,18,0.0657
100,1,0.03096
101,2,0.03156
102,3,0.03154
103,4,0.03278
104,5,0.03044
105,6,0.03158
106,7,0.03358
107,8,0.03298
108,9,0.03336
109,10,0.0364
110,2,0.0451
111,3,0.0351
112,4,0.0403
113,5,0.03686
114,6,0.04026
115,7,0.03604
116,8,0.0376
117,9,0.08668
118,10,0.03712
119,11,0.03714
120,3,0.03774
121,4,0.04022
122,5,0.039
123,6,0.03974
124,7,0.0398
125,8,0.03898
126,9,0.04978
127,10,0.0414
128,11,0.03842
129,12,0.03876
130,4,0.03958
131,5,0.03938
132,6,0.03984
133,7,0.0404
134,8,0.04068
135,9,0.04126
136,10,0.0402
137,11,0.04476
138,12,0.0413
139,13,0.04732
140,5,0.04654
141,6,0.04726
142,7,0.04496
143,8,0.04854
144,9,0.04646
145,10,0.04552
146,11,0.04666
147,12,0.04622
148,13,0.05706
149,14,0.04772
150,6,0.04564
151,7,0.0463
152,8,0.04602
153,9,0.04634
154,10,0.0464
155,11,0.0479
156,12,0.04868
157,13,0.04892
158,14,0.04936
159,15,0.04962
160,7,0.05018
161,8,0.04906
162,9,0.04916
163,10,0.04976
164,11,0.0507
165,12,0.05312
166,13,0.05078
167,14,0.05132
168,15,0.05304
169,16,0.05298
170,8,0.05548
171,9,0.05384
172,10,0.0532
173,11,0.05334
174,12,0.05458
175,13,0.0552
176,14,0.05606
177,15,0.05624
178,16,0.0595
179,17,0.05944
180,9,0.05748
181,10,0.05862
182,11,0.05742
183,12,0.05992
184,13,0.06026
185,14,0.0594
186,15,0.0592
187,16,0.0601
188,17,0.06068
189,18,0.06022
190,10,0.06028
191,11,0.06188
192,12,0.06166
193,13,0.0619
194,14,0.06162
195,15,0.0651
196,16,0.062
197,17,0.06604
198,18,0.06336
199,19,0.0662
200,2,0.06298
201,3,0.0655
202,4,0.06516
203,5,0.06734
204,6,0.06492
205,7,0.06482
206,8,0.09784
207,9,0.06458
208,10,0.0641
209,11,0.06386
210,3,0.08386
211,4,0.07026
212,5,0.06802
213,6,0.0676
214,7,0.0675
215,8,0.07168
216,9,0.0697
217,10,0.0691
218,11,0.07426
219,12,0.07226
220,4,0.0698
221,5,0.07088
222,6,0.0703
223,7,0.07422
224,8,0.07308
225,9,0.0726
226,10,0.0868
227,11,0.07338
228,12,0.07444
229,13,0.07414
230,5,0.07524
231,6,0.07528
232,7,0.0812
233,8,0.07674
234,9,0.07526
235,10,0.07516
236,11,0.07568
237,12,0.07658
238,13,0.08206
239,14,0.08616
240,6,0.08418
241,7,0.08494
242,8,0.08428
243,9,0.08466
244,10,0.08532
245,11,0.0974
246,12,0.08532
247,13,0.08744
248,14,0.08846
249,15,0.08556
250,7,0.09358
251,8,0.0927
252,9,0.09182
253,10,0.093
254,11,0.09506
255,12,0.0938
256,13,0.09104
257,14,0.09686
258,15,0.09288
259,16,0.0936
260,8,0.09566
261,9,0.0947
262,10,0.10112
263,11,0.09434
264,12,0.0933
265,13,0.09754
266,14,0.0967
267,15,0.09646
268,16,0.09786
269,17,0.0915
270,9,0.1273
271,10,0.0946
272,11,0.09476
273,12,0.09344
274,13,0.09754
275,14,0.09498
276,15,0.09492
277,16,0.12938
278,17,0.09278
279,18,0.09174
280,10,0.09126
281,11,0.08792
282,12,0.09532
283,13,0.11508
284,14,0.10614
285,15,0.1085
286,16,0.10834
287,17,0.10734
288,18,0.1186
289,19,0.10712
290,11,0.11002
291,12,0.22592
292,13,0.104
293,14,0.10076
294,15,0.10594
295,16,0.09994
296,17,0.10432
297,18,0.10378
298,19,0.10444
299,20,0.10476
300,3,0.10786
301,4,0.10396
302,5,0.17766
303,6,0.10816
304,7,0.1033
305,8,0.10862
306,9,0.11424
307,10,0.12488
308,11,0.11366
309,12,0.11414
310,4,0.11536
311,5,0.11292
312,6,0.11926
313,7,0.11756
314,8,0.1135
315,9,0.11366
316,10,0.11766
317,11,0.11574
318,12,0.11874
319,13,0.11242
320,5,0.22418
321,6,0.12254
322,7,0.12836
323,8,0.14056
324,9,0.1241
325,10,0.13552
326,11,0.13006
327,12,0.12984
328,13,0.12438
329,14,0.11978
330,6,0.12084
331,7,0.12062
332,8,0.1226
333,9,0.12376
334,10,0.12422
335,11,0.12218
336,12,0.14806
337,13,0.19328
338,14,0.12332
339,15,0.11634
340,7,0.12326
341,8,0.12748
342,9,0.13362
343,10,0.13102
344,11,0.14662
345,12,0.12632
346,13,0.13496
347,14,0.12868
348,15,0.13302
349,16,0.12968
350,8,0.12912
351,9,0.13182
352,10,0.12948
353,11,0.13138
354,12,0.13638
355,13,0.12426
356,14,0.12
357,15,0.12066
358,16,0.1195
359,17,0.12944
360,9,0.12
361,10,0.11786
362,11,0.1244
363,12,0.1207
364,13,0.12598
365,14,0.12198
366,15,0.12212
367,16,0.1224
368,17,0.13306
369,18,0.1322
370,10,0.13234
371,11,0.13086
372,12,0.18376
373,13,0.13532
374,14,0.13914
375,15,0.13746
376,16,0.13346
377,17,0.12938
378,18,0.1338
379,19,0.13978
380,11,0.13478
381,12,0.14168
382,13,0.13334
383,14,0.13466
384,15,0.13936
385,16,0.13994
386,17,0.14446
387,18,0.13932
388,19,0.24354
389,20,0.15386
390,12,0.14782
391,13,0.14456
392,14,0.20168
393,15,0.13848
394,16,0.14424
395,17,0.13778
396,18,0.14786
397,19,0.13802
398,20,0.14528
399,21,0.13856
400,4,0.141
401,5,0.14314
402,6,0.14684
403,7,0.14048
404,8,0.178
405,9,0.14634
406,10,0.15184
407,11,0.1446
408,12,0.15422
409,13,0.15266
410,5,0.14894
411,6,0.1481
412,7,0.14974
413,8,0.14512
414,9,0.1469
415,10,0.14632
416,11,0.15094
417,12,0.14846
418,13,0.15038
419,14,0.15198
420,6,0.15254
421,7,0.14622
422,8,0.15396
423,9,0.14796
424,10,0.15476
425,11,0.14788
426,12,0.1591
427,13,0.15484
428,14,0.1565
429,15,0.14308
430,7,0.1468
431,8,0.14386
432,9,0.14742
433,10,0.1419
434,11,0.19722
435,12,0.16266
436,13,0.15826
437,14,0.1542
438,15,0.16162
439,16,0.1593
440,8,0.16044
441,9,0.15904
442,10,0.16132
443,11,0.15718
444,12,0.1666
445,13,0.1639
446,14,0.16404
447,15,0.15728
448,16,0.19968
449,17,0.17108
450,9,0.1631
451,10,0.16076
452,11,0.16274
453,12,0.16384
454,13,0.16452
455,14,0.16284
456,15,0.16604
457,16,0.16532
458,17,0.16738
459,18,0.16452
460,10,0.16584
461,11,0.1629
462,12,0.19992
463,13,0.1622
464,14,0.1743
465,15,0.16498
466,16,0.17042
467,17,0.16892
468,18,0.16956
469,19,0.16996
470,11,0.17068
471,12,0.17356
472,13,0.17152
473,14,0.1683
474,15,0.17898
475,16,0.1669
476,17,0.18102
477,18,0.16816
478,19,0.17456
479,20,0.1658
480,12,0.1884
481,13,0.17252
482,14,0.1791
483,15,0.17422
484,16,0.18124
485,17,0.17998
486,18,0.18284
487,19,0.17266
488,20,0.18098
489,21,0.20764
490,13,0.18294
491,14,0.167
492,15,0.1765
493,16,0.17484
494,17,0.18376
495,18,0.17472
496,19,0.18062
497,20,0.17562
498,21,0.18104
499,22,0.18118
500,5,0.17742
501,6,0.23462
502,7,0.19108
503,8,0.1822
504,9,0.1834
505,10,0.20008
506,11,0.18588
507,12,0.17952
508,13,0.1874
509,14,0.18328
510,6,0.1908
511,7,0.18444
512,8,0.19142
513,9,0.22008
514,10,0.18724
515,11,0.18862
516,12,0.1899
517,13,0.18954
518,14,0.19358
519,15,0.18956
520,7,0.19676
521,8,0.19094
522,9,0.19946
523,10,0.19548
524,11,0.19588
525,12,0.19242
526,13,0.20116
527,14,0.18766
528,15,0.1935
529,16,0.19066
530,8,0.1953
531,9,0.19004
532,10,0.19556
533,11,0.1859
534,12,0.1921
535,13,0.19128
536,14,0.19764
537,15,0.2605
538,16,0.19886
539,17,0.19642
540,9,0.199
541,10,0.19212
542,11,0.20268
543,12,0.19592
544,13,0.20176
545,14,0.1982
546,15,0.20404
547,16,0.19176
548,17,0.20452
549,18,0.21042
550,10,0.20958
551,11,0.202
552,12,0.21116
553,13,0.20532
554,14,0.21354
555,15,0.20578
556,16,0.20484
557,17,0.20016
558,18,0.20778
559,19,0.20112
560,11,0.27916
561,12,0.19774
562,13,0.2021
563,14,0.197
564,15,0.20096
565,16,0.19726
566,17,0.2113
567,18,0.20148
568,19,0.21234
569,20,0.20618
570,12,0.21242
571,13,0.20344
572,14,0.30036
573,15,0.20582
574,16,0.21516
575,17,0.20852
576,18,0.21812
577,19,0.20842
578,20,0.21568
579,21,0.21274
580,13,0.2189
581,14,0.21136
582,15,0.2491
583,16,0.2148
584,17,0.21026
585,18,0.21214
586,19,0.2195
587,20,0.21116
588,21,0.22078
589,22,0.21396
590,14,0.22348
591,15,0.21004
592,16,0.22388
593,17,0.29434
594,18,0.22824
595,19,0.21906
596,20,0.22688
597,21,0.22056
598,22,0.22468
599,23,0.21884
600,6,0.22666
601,7,0.21878
602,8,0.2255
603,9,0.25586
604,10,0.22714
605,11,0.22194
606,12,0.2266
607,13,0.21978
608,14,0.22612
609,15,0.2228
610,7,0.22944
611,8,0.22106
612,9,0.23122
613,10,0.22464
614,11,0.24292
615,12,0.22536
616,13,0.23764
617,14,0.22876
618,15,0.23432
619,16,0.2259
620,8,0.23808
621,9,0.22846
622,10,0.24586
623,11,0.22858
624,12,0.2502
625,13,0.22786
626,14,0.23856
627,15,0.23058
628,16,0.35332
629,17,0.22962
630,9,0.22972
631,10,0.23232
632,11,0.23472
633,12,0.21866
634,13,0.2731
635,14,0.22188
636,15,0.24036
