Amount,No. coins used,Time taken
1,1,0.00176
2,1,0.0012
3,2,0.00128
4,2,0.00144
5,1,0.00164
6,2,0.00194
7,2,0.00226
8,3,0.00278
9,3,0.00278
10,1,0.003
11,2,0.00334
12,2,0.00364
13,3,0.00462
14,3,0.0044
15,2,0.00476
16,3,0.00494
17,3,0.00536
18,4,0.00552
19,4,0.00588
20,1,0.00616
21,2,0.00658
22,2,0.00684
23,3,0.00828
24,3,0.00744
25,1,0.00768
26,2,0.0082
27,2,0.00858
28,3,0.00904
29,3,0.0094
30,2,0.00974
31,3,0.01026
32,3,0.0104
33,4,0.01086
34,4,0.01194
35,2,0.01152
36,3,0.01198
37,3,0.01238
38,4,0.01394
39,4,0.01342
40,2,0.01358
41,3,0.01392
42,3,0.01442
43,4,0.01452
44,4,0.01542
45,2,0.016
46,3,0.01676
47,3,0.01636
48,4,0.01668
49,4,0.0169
50,1,0.01726
51,2,0.0179
52,2,0.01834
53,3,0.01946
54,3,0.01872
55,2,0.01924
56,3,0.01996
57,3,0.02036
58,4,0.02098
59,4,0.0212
60,2,0.02128
61,3,0.0224
62,3,0.02206
63,4,0.0228
64,4,0.02328
65,3,0.02308
66,4,0.02412
67,4,0.02444
68,5,0.02562
69,5,0.02634
70,2,0.0276
71,3,0.02916
72,3,0.0292
73,4,0.03094
74,4,0.03008
75,2,0.03194
76,3,0.0311
77,3,0.0324
78,4,0.03218
79,4,0.03474
80,3,0.06122
81,4,0.07952
82,4,0.0388
83,5,0.03984
84,5,0.0418
85,3,0.0418
86,4,0.04552
87,4,0.04342
88,5,0.04628
89,5,0.04684
90,3,0.04606
91,4,0.04854
92,4,0.0503
93,5,0.04932
94,5,0.04992
95,3,0.05248
96,4,0.05054
97,4,0.04904
98,5,0.04852
99,5,0.04942
100,2,0.04752
101,3,0.04754
102,3,0.04848
103,4,0.04642
104,4,0.04628
105,3,0.04742
106,4,0.0471
107,4,0.0445
108,5,0.04388
109,5,0.04464
110,3,0.04564
111,4,0.0449
112,4,0.04262
113,5,0.05012
114,5,0.04304
115,4,0.04382
116,5,0.0456
117,5,0.04468
118,6,0.0464
119,6,0.04612
120,3,0.04678
121,4,0.05396
122,4,0.04882
123,5,0.04714
124,5,0.049
125,3,0.04854
126,4,0.0488
127,4,0.04964
128,5,0.04976
129,5,0.0495
130,4,0.05076
131,5,0.04984
132,5,0.05042
133,6,0.05302
134,6,0.05134
135,4,0.05272
136,5,0.05316
137,5,0.0531
138,6,0.0544
139,6,0.05374
140,4,0.05486
141,5,0.05494
142,5,0.05454
143,6,0.05532
144,6,0.0562
145,4,0.0585
146,5,0.0579
147,5,0.05776
148,6,0.05776
149,6,0.05728
150,3,0.05754
151,4,0.05828
152,4,0.05862
153,5,0.05954
154,5,0.05918
155,4,0.06048
156,5,0.06064
157,5,0.06052
158,6,0.0622
159,6,0.06192
160,4,0.06148
161,5,0.06428
162,5,0.06256
163,6,0.06888
164,6,0.0645
165,5,0.06486
166,6,0.06442
167,6,0.06402
168,7,0.06556
169,7,0.06654
170,4,0.06796
171,5,0.06854
172,5,0.06722
173,6,0.06824
174,6,0.06718
175,4,0.06802
176,5,0.06936
177,5,0.06952
178,6,0.0704
179,6,0.06996
180,5,0.06984
181,6,0.0709
182,6,0.07142
183,7,0.072
184,7,0.07228
185,5,0.0724
186,6,0.07236
187,6,0.0732
188,7,0.07332
189,7,0.07336
190,5,0.07388
191,6,0.07396
192,6,0.07488
193,7,0.07432
194,7,0.07578
195,5,0.07698
196,6,0.07788
197,6,0.07764
198,7,0.0784
199,7,0.0807
200,4,0.07884
201,5,0.08018
202,5,0.07892
203,6,0.08142
204,6,0.08084
205,5,0.08098
206,6,0.0813
207,6,0.08144
208,7,0.0799
209,7,0.08182
210,5,0.08212
211,6,0.0858
212,6,0.08342
213,7,0.0825
214,7,0.08398
215,6,0.08354
216,7,0.07826
217,7,0.0792
218,8,0.07944
219,8,0.084
220,5,0.08648
221,6,0.0824
222,6,0.08174
223,7,0.08474
224,7,0.08452
225,5,0.0882
226,6,0.08846
227,6,0.09502
228,7,0.08936
229,7,0.08592
230,6,0.0828
231,7,0.08858
232,7,0.08436
233,8,0.08766
234,8,0.09138
235,6,0.08884
236,7,0.08956
237,7,0.08552
238,8,0.0886
239,8,0.08886
240,6,0.12656
241,7,0.08978
242,7,0.09058
243,8,0.08864
244,8,0.09094
245,6,0.09542
246,7,0.09388
247,7,0.09182
248,8,0.0941
249,8,0.09196
250,5,0.09302
251,6,0.09318
252,6,0.09258
253,7,0.09328
254,7,0.09338
255,6,0.09294
256,7,0.0939
257,7,0.09406
258,8,0.0948
259,8,0.09892
260,6,0.09748
261,7,0.09442
262,7,0.09668
263,8,0.09748
264,8,0.09766
265,7,0.09938
266,8,0.10006
267,8,0.1001
268,9,0.09846
269,9,0.09938
270,6,0.09772
271,7,0.10278
272,7,0.10658
273,8,0.10438
274,8,0.10366
275,6,0.10342
276,7,0.1024
277,7,0.13738
278,8,0.10782
279,8,0.1083
280,7,0.108
281,8,0.10242
282,8,0.11088
283,9,0.10562
284,9,0.10376
285,7,0.10546
286,8,0.10668
287,8,0.10652
288,9,0.10644
289,9,0.10548
290,7,0.10726
291,8,0.10966
292,8,0.1074
293,9,0.11352
294,9,0.11252
295,7,0.1084
296,8,0.10932
297,8,0.1088
298,9,0.11118
299,9,0.11374
300,6,0.10998
301,7,0.11354
302,7,0.11148
303,8,0.1174
304,8,0.11824
305,7,0.11878
306,8,0.12598
307,8,0.12036
308,9,0.12592
309,9,0.11874
310,7,0.1339
311,8,0.13552
312,8,0.1534
313,9,0.15396
314,9,0.15572
315,8,0.16278
316,9,0.18464
317,9,0.20214
318,10,0.12814
319,10,0.13046
320,7,0.23542
321,8,0.18538
322,8,0.1722
323,9,0.16202
324,9,0.15466
325,7,0.15426
326,8,0.13794
327,8,0.13162
328,9,0.12936
329,9,0.1295
330,8,0.14048
331,9,0.14982
332,9,0.16576
333,10,0.17342
334,10,0.18654
335,8,0.20724
336,9,0.2213
337,9,0.24232
338,10,0.27494
339,10,0.29506
340,8,0.31538
341,9,0.29154
342,9,0.26608
343,10,0.21318
344,10,0.19346
345,8,0.20326
346,9,0.18704
347,9,0.17676
348,10,0.16312
349,10,0.15458
350,7,0.1421
