Amount,No. coins used,Time taken
1,1,0.00168
2,2,0.00104
3,3,0.00114
4,4,0.00114
5,5,0.0013
6,1,0.00152
7,1,0.00172
8,2,0.00192
9,3,0.00214
10,4,0.00246
11,5,0.00268
12,2,0.0029
13,2,0.00304
14,2,0.00328
15,3,0.00354
16,4,0.00374
17,5,0.00396
18,3,0.00416
19,3,0.00572
20,3,0.00456
21,3,0.005
22,4,0.00502
23,5,0.00524
24,4,0.00546
25,4,0.00568
26,4,0.00592
27,4,0.00618
28,4,0.0064
29,5,0.00658
30,5,0.00688
31,5,0.00708
32,5,0.00814
33,5,0.00738
34,5,0.00764
35,5,0.00794
36,6,0.00814
37,6,0.00844
38,6,0.00862
39,6,0.00872
40,6,0.00906
41,6,0.0093
42,6,0.00964
43,7,0.00966
44,7,0.01006
45,7,0.01006
46,7,0.01026
47,7,0.01054
48,7,0.01062
49,7,0.01094
50,8,0.01128
51,8,0.01152
52,8,0.0117
53,8,0.01268
54,8,0.01198
55,8,0.01248
56,8,0.01264
57,9,0.01282
58,9,0.01308
59,9,0.01326
60,9,0.01436
61,9,0.01518
62,9,0.0137
63,9,0.01414
64,10,0.01452
65,10,0.01414
66,10,0.0148
67,10,0.01492
68,10,0.0154
69,1,0.01702
70,2,0.01556
71,3,0.01604
72,4,0.01628
73,5,0.01672
74,6,0.01678
75,2,0.01714
76,2,0.03186
77,3,0.03214
78,4,0.02186
79,5,0.01808
80,6,0.01814
81,3,0.01844
82,3,0.01846
83,3,0.0191
84,4,0.01922
85,5,0.01962
86,6,0.02154
87,4,0.0201
88,4,0.0204
89,4,0.02072
90,4,0.02102
91,5,0.02122
92,6,0.04504
93,5,0.0465
94,5,0.02794
95,5,0.02214
96,5,0.0224
97,5,0.0231
98,6,0.02336
99,6,0.02362
100,6,0.02356
101,6,0.02406
102,6,0.02396
103,6,0.0245
104,6,0.02456
105,7,0.02616
106,7,0.02578
107,7,0.02534
108,7,0.02602
109,7,0.02618
110,7,0.02588
111,7,0.02634
112,8,0.02672
113,8,0.02708
114,8,0.0281
115,8,0.02782
116,8,0.028
117,8,0.02836
118,8,0.02826
119,9,0.02886
120,9,0.02894
121,9,0.02876
122,9,0.02958
123,9,0.03076
124,9,0.02998
125,9,0.03022
126,10,0.03088
127,10,0.03042
128,10,0.0311
129,10,0.03122
130,10,0.0309
131,10,0.03208
132,10,0.0392
133,11,0.0316
134,11,0.0323
135,11,0.03342
136,11,0.033
137,11,0.03316
138,2,0.03552
139,3,0.03386
140,4,0.03446
141,5,0.0321
142,6,0.03244
143,7,0.04376
144,3,0.03406
145,3,0.0332
146,4,0.04524
147,5,0.03388
148,6,0.0338
149,7,0.03366
150,4,0.05034
151,4,0.03516
152,4,0.03444
153,5,0.03448
154,6,0.03522
155,7,0.03564
156,5,0.03556
157,5,0.03668
158,5,0.03636
159,5,0.03594
160,6,0.0378
161,7,0.03794
162,6,0.0377
163,6,0.03782
164,6,0.03722
165,6,0.0381
166,6,0.04056
167,7,0.03856
168,7,0.03872
169,7,0.0393
170,7,0.05222
171,7,0.03982
172,7,0.03912
173,7,0.04288
174,8,0.0394
175,8,0.03988
176,8,0.04046
177,8,0.04144
178,8,0.04306
179,8,0.04472
180,8,0.04644
181,9,0.04604
182,9,0.0484
183,9,0.04992
184,9,0.0518
185,9,0.05338
186,9,0.05456
187,9,0.05812
188,10,0.05974
189,10,0.06114
190,10,0.06582
191,10,0.06848
192,10,0.06902
193,10,0.07708
194,10,0.07208
195,11,0.072
196,11,0.08592
197,11,0.07522
198,11,0.07942
199,11,0.08354
200,11,0.08252
201,11,0.0906
202,12,0.10194
203,12,0.09584
204,12,0.0928
205,12,0.09904
206,12,0.08966
207,3,0.09186
208,4,0.10048
209,5,0.0945
210,6,0.0915
211,7,0.09306
212,8,0.08718
213,4,0.09046
214,4,0.0871
215,5,0.08112
216,6,0.08132
217,7,0.07856
218,8,0.08576
219,5,0.07532
220,5,0.07752
221,5,0.081
222,6,0.0838
223,7,0.08818
224,8,0.10944
225,6,0.13892
226,6,0.14698
227,6,0.16554
228,6,0.12798
229,7,0.05312
230,8,0.05366
231,7,0.0538
232,7,0.18926
233,7,0.16044
234,7,0.13888
235,7,0.14508
236,8,0.10866
237,8,0.10468
238,8,0.10076
239,8,0.09786
240,8,0.09442
241,8,0.09074
242,8,0.14992
243,9,0.06248
244,9,0.06142
245,9,0.06212
246,9,0.06072
247,9,0.20136
248,9,0.20262
249,9,0.20744
250,10,0.20952
251,10,0.20836
252,10,0.24578
253,10,0.23686
254,10,0.23228
255,10,0.24774
256,10,0.22786
257,11,0.20858
258,11,0.2101
259,11,0.21192
260,11,0.20738
261,11,0.1969
262,11,0.19904
263,11,0.1925
264,12,0.18624
265,12,0.18792
266,12,0.18412
267,12,0.20446
268,12,0.17272
269,12,0.16736
270,12,0.16734
271,13,0.16318
272,13,0.15808
273,13,0.1543
274,13,0.15344
275,13,0.15398
276,4,0.14606
277,5,0.1474
278,6,0.13994
279,7,0.142
280,8,0.1356
281,9,0.13134
282,5,0.1286
283,5,0.13834
284,6,0.12852
285,7,0.12332
286,8,0.12172
287,9,0.11648
288,6,0.11856
289,6,0.1126
290,6,0.11036
291,7,0.11096
292,8,0.10788
293,9,0.10412
294,7,0.10494
295,7,0.1017
296,7,0.10074
297,7,0.10136
298,8,0.0962
299,9,0.09498
300,8,0.09516
301,8,0.09058
302,8,0.08988
303,8,0.08972
304,8,0.08892
305,9,0.08682
306,9,0.0943
307,9,0.08144
308,9,0.0824
309,9,0.0796
310,9,0.07996
311,9,0.07848
312,10,0.07846
313,10,0.079
314,10,0.07948
315,10,0.07984
316,10,0.0807
317,10,0.08078
318,10,0.08224
319,11,0.08058
320,11,0.08744
321,11,0.08132
322,11,0.08356
323,11,0.08354
324,11,0.08344
325,11,0.0829
326,12,0.08092
327,12,0.08348
328,12,0.08458
329,12,0.08364
330,12,0.0835
331,12,0.0833
332,12,0.08356
333,13,0.08358
334,13,0.08632
335,13,0.0866
336,13,0.12028
