Amount,No. coins used,Time taken
1,1,0.0017
2,2,0.00104
3,3,0.0011
4,1,0.0014
5,2,0.0016
6,3,0.00174
7,4,0.00196
8,2,0.0022
9,1,0.00254
10,2,0.00274
11,3,0.00302
12,3,0.00326
13,2,0.0035
14,3,0.00372
15,4,0.0041
16,1,0.00446
17,2,0.0047
18,2,0.00508
19,3,0.00518
20,2,0.00558
21,3,0.006
22,3,0.00638
23,4,0.0066
24,3,0.00674
25,1,0.00714
26,2,0.00764
27,3,0.00798
28,4,0.0083
29,2,0.00848
30,3,0.00888
31,4,0.00924
32,2,0.00962
33,3,0.00988
34,2,0.01038
35,3,0.01072
36,1,0.0109
37,2,0.0114
38,3,0.01188
39,4,0.01216
40,2,0.0126
41,2,0.0129
42,3,0.01344
43,3,0.0139
44,3,0.01398
45,2,0.01438
46,3,0.01468
47,4,0.01506
48,3,0.01546
49,1,0.0156
50,2,0.0161
51,3,0.02842
52,2,0.01716
53,2,0.01774
54,3,0.01802
55,4,0.01886
56,3,0.01908
57,3,0.01962
58,2,0.01986
59,3,0.0203
60,4,0.02058
61,2,0.02098
62,3,0.02318
63,4,0.02682
64,4,0.02222
65,2,0.02294
66,3,0.02318
67,3,0.0239
68,3,0.0239
69,3,0.02444
70,3,0.07562
71,4,0.04404
72,2,0.0272
73,3,0.04682
74,2,0.02708
75,3,0.027
76,3,0.02752
77,3,0.02826
78,3,0.02976
79,4,0.03066
80,4,0.0292
81,3,0.02972
82,4,0.03038
83,3,0.03076
84,4,0.03066
85,2,0.03142
86,3,0.03212
87,4,0.03238
88,3,0.03254
89,3,0.03958
90,3,0.03386
91,4,0.03472
92,4,0.0349
93,4,0.03494
94,3,0.03494
95,4,0.0364
96,5,0.03598
97,3,0.03654
98,2,0.03676
99,3,0.03698
100,4,0.03738
101,3,0.03936
102,3,0.0378
103,4,0.03866
104,4,0.0385
105,4,0.04032
106,4,0.04024
107,3,0.0402
108,3,0.04024
109,4,0.04128
110,3,0.04066
111,4,0.04224
112,4,0.04164
113,4,0.04276
114,3,0.0435
115,4,0.04332
116,4,0.04362
117,4,0.04442
118,4,0.04464
119,4,0.04504
120,5,0.04546
121,3,0.04578
122,4,0.046
123,3,0.04678
124,4,0.04776
125,4,0.04892
126,4,0.04838
127,4,0.0489
128,5,0.04922
129,5,0.04868
130,4,0.04942
131,5,0.05036
132,4,0.05028
133,4,0.05108
134,3,0.05126
135,4,0.05232
136,5,0.0518
137,4,0.05344
138,4,0.05352
139,4,0.05302
140,5,0.05346
141,5,0.055
142,5,0.05392
143,4,0.05574
144,4,0.05536
145,5,0.05528
146,4,0.0567
147,3,0.05742
148,4,0.05786
149,5,0.0572
150,4,0.05732
151,4,0.05786
152,5,0.0584
153,5,0.05954
154,5,0.05994
155,5,0.06016
156,4,0.06092
157,4,0.06034
158,5,0.06128
159,4,0.06218
160,5,0.06162
161,5,0.06164
162,5,0.06296
163,4,0.06342
164,5,0.06342
165,5,0.06366
166,5,0.06422
167,5,0.06428
168,5,0.06492
169,5,0.06798
170,4,0.06722
171,5,0.06676
172,4,0.06882
173,5,0.06746
174,5,0.0676
175,5,0.06906
176,5,0.06858
177,6,0.0699
178,6,0.06916
179,5,0.07012
180,5,0.07078
181,5,0.0712
182,5,0.07112
183,4,0.07164
184,5,0.07128
185,6,0.0715
186,5,0.07204
187,5,0.07236
188,5,0.0731
189,6,0.07372
190,6,0.07374
191,6,0.0751
192,5,0.07606
193,5,0.0752
194,6,0.07678
195,5,0.07486
196,4,0.07802
197,5,0.07828
198,6,0.07734
199,5,0.07694
200,5,0.07698
201,6,0.08364
202,6,0.07906
203,6,0.07968
204,6,0.07962
205,5,0.08144
206,5,0.08072
207,6,0.08152
208,5,0.08338
209,6,0.08142
210,6,0.0812
211,6,0.082
212,5,0.08368
213,6,0.08234
214,6,0.08364
215,6,0.08398
216,6,0.08528
217,6,0.08486
218,6,0.0851
219,5,0.08784
220,6,0.08736
221,5,0.08538
222,6,0.08788
223,6,0.08564
224,6,0.08846
225,6,0.08832
226,7,0.08914
227,7,0.08792
228,6,0.08966
229,6,0.08924
230,6,0.0898
231,6,0.08978
232,5,0.09154
233,6,0.09262
234,7,0.09086
235,6,0.09358
236,6,0.09558
237,6,0.0928
238,7,0.09476
239,7,0.09402
240,7,0.09272
241,6,0.095
242,6,0.09642
243,7,0.09552
244,6,0.09602
245,5,0.09678
246,6,0.09482
247,7,0.09782
248,6,0.09894
249,6,0.09756
250,7,0.10206
251,7,0.09668
252,7,0.0984
253,7,0.11098
254,6,0.11058
255,6,0.10154
256,7,0.10358
257,6,0.10272
258,7,0.1025
259,7,0.1012
260,7,0.14778
261,6,0.10808
262,7,0.10146
263,7,0.10622
264,7,0.10522
265,7,0.11368
266,7,0.11346
267,7,0.10716
268,6,0.10464
269,7,0.10454
270,6,0.1061
271,7,0.11004
272,7,0.10734
273,7,0.10622
274,7,0.10804
275,8,0.10754
276,8,0.10874
277,7,0.11738
278,7,0.114
279,7,0.12796
280,7,0.16834
281,6,0.11142
282,7,0.11142
283,8,0.11012
284,7,0.11048
285,7,0.11318
286,7,0.11256
287,8,0.11312
288,8,0.11284
289,8,0.1145
290,7,0.1133
291,7,0.11444
292,8,0.12828
293,7,0.11474
294,6,0.13676
295,7,0.16738
296,8,0.13796
297,7,0.15918
298,7,0.1257
299,8,0.11844
300,8,0.1206
301,8,0.1215
302,8,0.12002
303,7,0.12
304,7,0.12044
305,8,0.1231
306,7,0.13532
307,8,0.12202
308,8,0.1334
309,8,0.12018
310,7,0.12376
311,8,0.12444
312,8,0.12276
313,8,0.12424
314,8,0.12236
315,8,0.1258
316,8,0.1337
317,7,0.14142
318,8,0.1284
319,7,0.1256
320,8,0.12528
321,8,0.1207
322,8,0.11732
323,8,0.12094
324,9,0.1214
325,9,0.14798
326,8,0.15612
327,8,0.15566
328,8,0.16352
329,8,0.15792
330,7,0.15822
331,8,0.14018
332,9,0.13974
333,8,0.126
334,8,0.13148
335,8,0.13272
336,9,0.13246
337,9,0.2396
338,9,0.17524
339,8,0.14206
340,8,0.14286
341,9,0.14438
342,8,0.14496
343,7,0.14384
344,8,0.14308
345,9,0.13972
346,8,0.13668
347,8,0.1388
348,9,0.13836
349,9,0.16242
350,9,0.1409
351,9,0.13938
352,8,0.13992
353,8,0.145
354,9,0.1426
355,8,0.14292
356,9,0.14184
357,9,0.14518
358,9,0.14204
359,8,0.14366
360,9,0.1484
361,9,0.144
362,9,0.1458
363,9,0.14706
364,9,0.14622
365,9,0.1477
366,8,0.1569
367,9,0.14792
368,8,0.14916
369,9,0.14714
370,9,0.14708
371,9,0.14818
372,9,0.13798
373,10,0.14448
374,10,0.14208
375,9,0.14094
376,9,0.15266
377,9,0.15208
378,9,0.15166
379,8,0.1511
380,9,0.1495
381,10,0.15384
382,9,0.15132
383,9,0.17232
384,9,0.17226
385,10,0.15934
386,10,0.15572
387,10,0.15706
388,9,0.15574
389,9,0.15922
390,10,0.17648
391,9,0.15904
