Amount,No. coins used,Time taken
1,1,0.00334
2,2,0.00144
3,3,0.00174
4,4,0.0048
5,1,0.00134
6,2,0.00152
7,3,0.0017
8,4,0.00178
9,5,0.00196
10,1,0.00218
11,2,0.0024
12,3,0.00262
13,4,0.0029
14,5,0.00356
15,2,0.00358
16,3,0.00356
17,4,0.0038
18,5,0.00412
19,6,0.00422
20,2,0.00442
21,3,0.0047
22,4,0.00464
23,5,0.00492
24,6,0.00512
25,1,0.00534
26,2,0.0058
27,3,0.00646
28,4,0.00664
29,5,0.0065
30,2,0.0067
31,3,0.0073
32,4,0.00726
33,5,0.00782
34,6,0.00812
35,2,0.008
36,3,0.00848
37,4,0.00902
38,5,0.00888
39,6,0.00902
40,3,0.00938
41,4,0.00976
42,5,0.0101
43,6,0.01008
44,7,0.0153
45,3,0.0112
46,4,0.01128
47,5,0.01114
48,6,0.01138
49,7,0.01168
50,2,0.01188
51,3,0.01248
52,4,0.01244
53,5,0.01446
54,6,0.01298
55,3,0.01318
56,4,0.01338
57,5,0.01388
58,6,0.01426
59,7,0.01406
60,3,0.0145
61,4,0.01482
62,5,0.01546
63,6,0.01614
64,7,0.01568
65,4,0.01602
66,5,0.01596
67,6,0.01662
68,7,0.01668
69,8,0.01882
70,4,0.01702
71,5,0.0191
72,6,0.01762
73,7,0.01764
74,8,0.0177
75,3,0.01828
76,4,0.02014
77,5,0.01894
78,6,0.01848
79,7,0.01916
80,4,0.01938
81,5,0.02418
82,6,0.04588
83,7,0.0326
84,8,0.02018
85,4,0.02384
86,5,0.02988
87,6,0.02956
88,7,0.03798
89,8,0.03044
90,5,0.02904
91,6,0.03032
92,7,0.0322
93,8,0.03074
94,9,0.03028
95,5,0.0317
96,6,0.03174
97,7,0.033
98,8,0.0323
99,9,0.03198
100,4,0.03174
101,5,0.03188
102,6,0.0329
103,7,0.03328
104,8,0.03306
105,5,0.038
106,6,0.03296
107,7,0.02742
108,8,0.0259
109,9,0.02852
110,5,0.02666
111,6,0.02714
112,7,0.02654
113,8,0.02776
114,9,0.02816
115,6,0.0288
116,7,0.02938
117,8,0.0326
118,9,0.03478
119,10,0.02854
120,6,0.03218
121,7,0.03266
122,8,0.0323
123,9,0.03304
124,10,0.03306
125,5,0.03084
126,6,0.0312
127,7,0.03196
128,8,0.03142
129,9,0.03144
130,6,0.03144
131,7,0.0317
132,8,0.03196
133,9,0.03268
134,10,0.03344
135,6,0.03264
136,7,0.03306
137,8,0.03336
138,9,0.03716
139,10,0.03406
140,7,0.03454
141,8,0.03412
142,9,0.03774
143,10,0.0341
144,11,0.03652
145,7,0.03546
146,8,0.03642
147,9,0.03904
148,10,0.03714
149,11,0.03778
150,6,0.04928
151,7,0.0406
152,8,0.03814
153,9,0.039
154,10,0.0389
155,7,0.04
156,8,0.0388
157,9,0.03806
158,10,0.03868
159,11,0.04042
160,7,0.03892
161,8,0.0426
162,9,0.04098
163,10,0.04052
164,11,0.04044
165,8,0.03952
166,9,0.04176
167,10,0.04226
168,11,0.04114
169,12,0.04386
170,8,0.04388
171,9,0.0417
172,10,0.04272
173,11,0.04302
174,12,0.043
175,7,0.04356
176,8,0.04404
177,9,0.0438
178,10,0.04392
179,11,0.04346
180,8,0.04414
181,9,0.04384
182,10,0.04538
183,11,0.04624
184,12,0.04528
185,8,0.04586
186,9,0.04556
187,10,0.0459
