Amount,No. coins used,Time taken
1,1,0.0019
2,2,0.00102
3,3,0.001
4,4,0.00112
5,5,0.00126
6,6,0.00138
7,7,0.00152
8,8,0.0017
9,9,0.00198
10,10,0.0022
11,11,0.00244
12,12,0.00244
13,13,0.0026
14,14,0.00358
15,15,0.0039
16,16,0.00398
17,17,0.00406
18,18,0.00678
19,19,0.0044
20,20,0.00474
21,21,0.00562
22,22,0.00574
23,23,0.00602
24,24,0.00546
25,25,0.00566
26,26,0.0059
27,27,0.00492
28,28,0.0052
29,29,0.00532
30,30,0.00546
31,31,0.0055
32,32,0.00572
33,33,0.00588
34,34,0.00648
35,35,0.00654
36,36,0.00694
37,37,0.00702
38,38,0.00842
39,39,0.00752
40,40,0.00784
41,1,0.00816
42,2,0.0083
43,1,0.00758
44,2,0.00786
45,3,0.00796
46,4,0.00848
47,5,0.00878
48,6,0.00908
49,7,0.00982
50,8,0.0125
51,9,0.01012
52,10,0.01054
53,11,0.01062
54,12,0.01086
55,13,0.01678
56,14,0.01728
57,15,0.01622
58,16,0.01702
59,17,0.01698
60,18,0.01346
61,19,0.01318
62,20,0.014
63,21,0.01438
64,22,0.01494
65,23,0.01506
66,24,0.0152
67,25,0.0167
68,26,0.01692
69,27,0.01722
70,28,0.04038
71,29,0.03576
72,30,0.01876
73,31,0.01974
74,32,0.01988
75,33,0.02006
76,34,0.02044
77,35,0.0225
78,36,0.02206
79,37,0.02296
80,38,0.02436
81,39,0.02506
82,2,0.04714
83,3,0.02708
84,2,0.01564
85,3,0.01574
86,2,0.0158
87,3,0.01608
88,4,0.01698
89,5,0.01672
90,6,0.01656
91,7,0.0169
92,8,0.01694
93,9,0.01742
94,10,0.01748
95,11,0.0206
96,12,0.0347
97,13,0.06006
98,14,0.04114
99,15,0.01886
100,16,0.0189
101,1,0.01934
102,2,0.01956
103,1,0.0197
104,2,0.0198
105,3,0.0211
106,4,0.02068
107,5,0.02202
108,6,0.02098
109,7,0.02174
110,8,0.02166
111,9,0.02206
112,10,0.02974
113,11,0.08002
114,12,0.07382
115,13,0.07782
116,14,0.07542
117,15,0.08516
118,16,0.06776
119,17,0.04894
120,18,0.04922
121,19,0.0683
122,20,0.06664
123,3,0.06446
124,4,0.08324
125,3,0.07574
126,4,0.05126
127,3,0.05578
128,4,0.04942
129,3,0.0488
130,4,0.05636
131,5,0.04928
132,6,0.0506
133,7,0.05054
134,8,0.04666
135,9,0.05832
136,10,0.03922
137,11,0.04314
138,12,0.04304
139,13,0.03118
140,14,0.03142
141,15,0.03046
142,2,0.03066
143,3,0.0304
144,2,0.02968
145,3,0.03048
146,2,0.03018
147,3,0.03054
148,4,0.03068
149,5,0.0312
150,6,0.03158
151,7,0.03182
152,8,0.03188
153,9,0.03268
154,10,0.0335
155,11,0.03292
156,12,0.03362
157,13,0.03364
158,14,0.03604
159,15,0.03356
160,16,0.0346
161,17,0.03458
162,18,0.03504
163,19,0.03492
164,4,0.0354
165,5,0.03606
166,4,0.0364
167,5,0.038
168,4,0.0369
169,5,0.0377
170,4,0.04392
171,5,0.03736
172,4,0.03754
173,5,0.0379
174,6,0.0384
175,7,0.0398
176,8,0.04376
177,9,0.04424
178,10,0.0485
179,11,0.045
180,12,0.04086
181,13,0.03976
182,14,0.04034
183,3,0.04078
184,4,0.0413
185,3,0.04156
186,4,0.0418
187,3,0.04136
188,4,0.0427
189,3,0.04224
190,4,0.04274
191,5,0.04224
192,6,0.04458
193,7,0.05438
194,8,0.04482
195,9,0.06676
196,10,0.06956
197,11,0.06714
198,12,0.05278
199,13,0.04504
