Amount,No. coins used,Time taken
1,1,0.00068
2,1,0.00038
3,2,0.0004
4,1,0.00032
5,2,0.0003
6,2,0.0003
7,3,0.00032
8,1,0.00028
9,2,0.0003
10,2,0.0003
11,3,0.00036
12,2,0.0003
13,3,0.00032
14,3,0.00034
15,4,0.00038
16,1,0.0003
17,2,0.0003
18,2,0.0003
19,3,0.00032
20,2,0.00028
21,3,0.00032
22,3,0.00032
23,4,0.00034
24,2,0.0003
25,3,0.00034
26,3,0.00032
27,4,0.00032
28,3,0.00032
29,4,0.00034
30,4,0.00032
31,5,0.00034
32,1,0.00028
33,2,0.00034
34,2,0.0003
35,3,0.00032
36,2,0.0003
37,3,0.00032
38,3,0.0003
39,4,0.00032
40,2,0.00028
41,3,0.0003
42,3,0.0003
43,4,0.00036
44,3,0.00032
45,4,0.00032
46,4,0.00034
47,5,0.00036
48,2,0.00032
49,3,0.00032
50,3,0.0003
51,4,0.0003
52,3,0.0003
53,4,0.0003
54,4,0.00034
55,5,0.00034
56,3,0.00032
57,4,0.00034
58,4,0.00034
59,5,0.00034
60,4,0.00036
61,5,0.00034
62,5,0.00034
63,6,0.00036
64,2,0.0003
65,3,0.0003
66,3,0.0003
67,4,0.00032
68,3,0.00032
69,4,0.00032
70,4,0.00038
71,5,0.00034
72,3,0.00032
73,4,0.00036
74,4,0.00032
75,5,0.00034
76,4,0.00034
77,5,0.00036
78,5,0.00036
79,6,0.00042
80,3,0.00032
81,4,0.0003
82,4,0.00032
83,5,0.00034
84,4,0.00034
85,5,0.00036
86,5,0.00036
87,6,0.00038
88,4,0.00034
89,5,0.00034
90,5,0.00034
91,6,0.00038
92,5,0.00036
93,6,0.0004
94,6,0.0006
95,7,0.0004
96,3,0.00034
97,4,0.00036
98,4,0.00032
99,5,0.00032
100,4,0.0003
101,5,0.00034
102,5,0.00036
103,6,0.00036
104,4,0.00036
105,5,0.00034
106,5,0.00034
107,6,0.00034
108,5,0.00034
109,6,0.00036
110,6,0.00036
111,7,0.00038
112,4,0.00032
113,5,0.00038
114,5,0.00032
115,6,0.00036
116,5,0.00036
117,6,0.0004
118,6,0.00036
119,7,0.00038
120,5,0.00036
121,6,0.00036
122,6,0.00036
123,7,0.00038
124,6,0.00038
125,7,0.00042
126,7,0.0004
127,8,0.00046
128,4,0.00032
129,5,0.00036
130,5,0.00034
131,6,0.00036
132,5,0.00036
133,6,0.00038
134,6,0.00036
135,7,0.00038
136,5,0.00036
137,6,0.00036
138,6,0.00036
139,7,0.00036
140,6,0.00038
141,7,0.0004
142,7,0.00038
143,8,0.0004
144,5,0.00034
145,6,0.00038
146,6,0.00042
147,7,0.0004
148,6,0.00038
149,7,0.00042
150,7,0.00038
151,8,0.00044
152,6,0.00038
153,7,0.00042
154,7,0.00042
155,8,0.00044
156,7,0.00038
157,8,0.00044
158,8,0.0004
159,9,0.00046
160,5,0.00036
161,6,0.00064
162,6,0.0004
163,7,0.0004
164,6,0.00038
165,7,0.00038
166,7,0.0004
167,8,0.00044
168,6,0.00036
169,7,0.0004
170,7,0.00046
171,8,0.00042
172,7,0.00042
173,8,0.00044
174,8,0.00044
175,9,0.00046
176,6,0.00044
177,7,0.00042
178,7,0.00042
179,8,0.00042
180,7,0.00042
181,8,0.00042
182,8,0.0004
183,9,0.00046
184,7,0.00042
185,8,0.00044
186,8,0.00042
187,9,0.00046
188,8,0.00046
189,9,0.00046
190,9,0.00046
191,10,0.0005
192,6,0.00034
193,7,0.0004
194,7,0.0004
195,8,0.00042
196,7,0.0004
197,8,0.0004
198,8,0.00042
199,9,0.00042
200,7,0.00038
201,8,0.00042
202,8,0.00042
203,9,0.00046
204,8,0.00042
205,9,0.00046
206,9,0.00046
207,10,0.00048
208,7,0.00038
209,8,0.00048
210,8,0.00046
211,9,0.00046
212,8,0.00042
213,9,0.00048
214,9,0.00046
215,10,0.00058
216,8,0.00048
217,9,0.00046
218,9,0.00044
219,10,0.00056
220,9,0.00044
221,10,0.00046
222,10,0.00048
223,11,0.00048
224,7,0.0004
225,8,0.00042
226,8,0.00044
227,9,0.00044
228,8,0.00042
229,9,0.00042
230,9,0.00044
231,10,0.00048
232,8,0.00044
233,9,0.00044
234,9,0.00042
235,10,0.00046
236,9,0.00044
237,10,0.00048
238,10,0.00048
239,11,0.00048
240,8,0.00042
241,9,0.00046
242,9,0.00046
243,10,0.00048
244,9,0.00046
245,10,0.0005
246,10,0.00048
247,11,0.0005
248,9,0.00046
249,10,0.00048
250,10,0.00048
251,11,0.00052
252,10,0.00048
253,11,0.0005
254,11,0.00048
255,12,0.00074
256,8,0.00046
257,9,0.00056
258,9,0.00048
259,10,0.00048
260,9,0.00046
261,10,0.00046
262,10,0.00048
263,11,0.0005
264,9,0.00046
265,10,0.00056
266,10,0.00048
267,11,0.0005
268,10,0.00054
269,11,0.0005
270,11,0.0005
271,12,0.00054
272,9,0.00046
273,10,0.0005
274,10,0.00048
275,11,0.00048
276,10,0.00048
277,11,0.00052
278,11,0.00048
279,12,0.00052
280,10,0.00048
281,11,0.00052
282,11,0.0005
283,12,0.0006
284,11,0.00056
285,12,0.00076
286,12,0.00052
287,13,0.00056
288,9,0.00046
289,10,0.00062
290,10,0.0006
291,11,0.00058
292,10,0.00054
293,11,0.00052
294,11,0.00056
295,12,0.00054
296,10,0.0005
297,11,0.0005
298,11,0.0005
299,12,0.00052
300,11,0.00054
301,12,0.00058
302,12,0.00056
303,13,0.00058
304,10,0.0005
305,11,0.0005
306,11,0.00054
307,12,0.00054
308,11,0.00052
309,12,0.00056
310,12,0.00054
311,13,0.00058
312,11,0.00056
313,12,0.00056
314,12,0.00054
315,13,0.00058
316,12,0.00054
317,13,0.00056
318,13,0.00056
319,14,0.00058
320,10,0.0005
321,11,0.0006
322,11,0.00058
323,12,0.00056
324,11,0.00054
325,12,0.00056
326,12,0.00054
327,13,0.00058
328,11,0.00054
329,12,0.00056
330,12,0.00058
331,13,0.00056
332,12,0.00058
333,13,0.0006
334,13,0.0006
335,14,0.0006
336,11,0.00054
337,12,0.00056
338,12,0.00054
339,13,0.0006
340,12,0.00056
341,13,0.00056
342,13,0.0006
343,14,0.0006
344,12,0.00056
345,13,0.0006
346,13,0.00058
347,14,0.00062
348,13,0.00056
349,14,0.00086
350,14,0.00066
351,15,0.00064
352,11,0.00052
353,12,0.00062
354,12,0.00064
355,13,0.0006
356,12,0.00056
357,13,0.00062
358,13,0.00058
359,14,0.00062
360,12,0.00054
361,13,0.0006
362,13,0.00058
363,14,0.00058
364,13,0.0006
365,14,0.0006
366,14,0.00062
367,15,0.00066
368,12,0.00056
369,13,0.00058
370,13,0.00058
371,14,0.0006
372,13,0.0006
373,14,0.0006
