Amount,No. coins used,Time taken
1,1,0.00062
2,1,0.00034
3,1,0.0003
4,1,0.0003
5,1,0.00028
6,1,0.00028
7,1,0.0003
8,2,0.00034
9,2,0.0003
10,2,0.00032
11,2,0.00036
12,2,0.0003
13,2,0.0003
14,2,0.0003
15,3,0.0003
16,3,0.0003
17,3,0.0003
18,3,0.00034
19,3,0.00036
20,3,0.00032
21,3,0.00036
22,4,0.00036
23,4,0.00034
24,4,0.00036
25,4,0.00032
26,4,0.00034
27,4,0.00034
28,4,0.00034
29,5,0.00036
30,5,0.00036
31,5,0.00036
32,5,0.00036
33,5,0.00038
34,5,0.00038
35,5,0.00034
36,6,0.00042
37,6,0.00038
38,6,0.00042
39,6,0.0004
40,6,0.00038
41,6,0.00038
42,6,0.00036
43,7,0.00042
44,7,0.0004
45,7,0.00042
46,7,0.0004
47,7,0.00042
48,7,0.00044
49,7,0.0004
50,8,0.00044
51,8,0.00044
52,8,0.00042
53,8,0.00044
54,8,0.00044
55,8,0.00046
56,8,0.00046
57,9,0.00048
58,9,0.00048
59,9,0.00048
60,9,0.00048
61,9,0.00048
62,9,0.00048
63,9,0.00046
64,10,0.0005
65,10,0.0005
66,10,0.0005
67,10,0.0005
68,10,0.0005
69,10,0.00052
70,10,0.00048
71,11,0.00052
72,11,0.00052
73,11,0.00054
74,11,0.00054
75,11,0.00054
76,11,0.00052
77,11,0.00052
78,12,0.00056
79,12,0.00054
80,12,0.00056
81,12,0.00054
82,12,0.00058
83,12,0.00054
84,12,0.00054
85,13,0.00058
86,13,0.00056
87,13,0.00058
88,13,0.00056
89,13,0.00058
90,13,0.00058
91,13,0.00056
92,14,0.0006
93,14,0.00058
94,14,0.00058
95,14,0.00058
96,14,0.00058
97,14,0.0006
98,14,0.0006
99,15,0.00062
100,15,0.00062
