Amount,No. coins used,Time taken
1,1,0.00058
2,2,0.00032
3,3,0.0003
4,4,0.00028
5,5,0.0003
6,6,0.00034
7,7,0.00034
8,8,0.00034
9,9,0.00036
10,1,0.00022
11,2,0.00026
12,3,0.00026
13,4,0.00028
14,5,0.00028
15,6,0.00032
16,7,0.00032
17,8,0.00038
18,9,0.00036
19,10,0.00038
20,2,0.00022
21,3,0.00028
22,4,0.00026
23,5,0.00028
24,6,0.0003
25,7,0.00032
26,8,0.00074
27,9,0.00048
28,10,0.00048
29,11,0.00046
30,3,0.00028
31,4,0.0003
32,5,0.00032
33,6,0.0003
34,7,0.00054
35,8,0.00036
36,9,0.00038
37,10,0.0004
38,11,0.00044
39,12,0.00046
40,4,0.00032
41,5,0.00032
42,6,0.0003
43,7,0.00032
44,8,0.00036
45,9,0.00038
46,10,0.00042
47,11,0.00046
48,12,0.00046
49,13,0.00056
50,5,0.00032
51,6,0.00034
52,7,0.0004
53,8,0.00038
54,9,0.00042
55,10,0.00044
56,11,0.00046
57,12,0.00044
58,13,0.0005
59,14,0.00056
60,6,0.00034
61,7,0.00036
62,8,0.00038
63,9,0.0004
64,10,0.00044
65,11,0.00046
66,12,0.00048
67,13,0.00044
68,14,0.00052
69,15,0.00052
70,7,0.00034
71,8,0.00034
72,9,0.0004
73,10,0.00038
74,11,0.00044
75,12,0.00046
76,13,0.00048
77,14,0.00052
78,15,0.00054
79,16,0.00052
80,8,0.00038
81,9,0.00038
82,10,0.0004
83,11,0.00046
84,12,0.00044
85,13,0.00048
86,14,0.0005
87,15,0.00052
88,16,0.00054
89,17,0.00056
90,9,0.00038
91,10,0.0004
92,11,0.00044
93,12,0.00046
94,13,0.00048
95,14,0.0005
96,15,0.0005
97,16,0.00054
98,17,0.0006
99,18,0.00066
100,1,0.00024
101,2,0.0003
102,3,0.00028
103,4,0.00026
104,5,0.00028
105,6,0.0003
106,7,0.00032
107,8,0.00036
108,9,0.00036
109,10,0.0004
110,2,0.00022
111,3,0.00026
112,4,0.00026
113,5,0.00032
114,6,0.0003
115,7,0.00036
116,8,0.00034
117,9,0.0004
118,10,0.0004
119,11,0.00044
120,3,0.00024
121,4,0.00026
122,5,0.0003
123,6,0.0003
124,7,0.00032
125,8,0.00036
126,9,0.00036
127,10,0.0004
128,11,0.00044
129,12,0.00046
130,4,0.00028
131,5,0.0003
132,6,0.0003
133,7,0.00032
134,8,0.00034
135,9,0.00036
136,10,0.0004
137,11,0.0004
138,12,0.00044
139,13,0.00048
140,5,0.0003
141,6,0.0003
142,7,0.0003
143,8,0.00034
144,9,0.00038
145,10,0.00042
146,11,0.00046
147,12,0.00046
148,13,0.0005
149,14,0.00052
150,6,0.00032
151,7,0.00034
152,8,0.00036
153,9,0.0004
154,10,0.00044
155,11,0.00046
156,12,0.00048
157,13,0.00048
158,14,0.0005
159,15,0.00052
160,7,0.00032
161,8,0.00038
162,9,0.00036
163,10,0.00038
164,11,0.00042
165,12,0.00042
166,13,0.00046
167,14,0.00048
168,15,0.00052
169,16,0.00054
170,8,0.00038
171,9,0.00036
172,10,0.00042
173,11,0.00042
174,12,0.00046
175,13,0.00046
176,14,0.00048
177,15,0.00052
178,16,0.00056
179,17,0.0006
180,9,0.00036
181,10,0.00038
182,11,0.00044
183,12,0.00046
184,13,0.00046
185,14,0.0005
186,15,0.0005
187,16,0.00054
188,17,0.00056
189,18,0.00058
190,10,0.0004
191,11,0.00042
192,12,0.00044
193,13,0.00048
194,14,0.00048
