Amount,No. coins used,Time taken
1,1,0.00064
2,1,0.00034
3,2,0.00032
4,2,0.00032
5,1,0.00028
6,2,0.00032
7,2,0.0003
8,3,0.00032
9,3,0.00034
10,1,0.00028
11,2,0.00034
12,2,0.00028
13,3,0.00034
14,3,0.0003
15,2,0.00032
16,3,0.00032
17,3,0.00034
18,4,0.00034
19,4,0.00032
20,1,0.00026
21,2,0.00032
22,2,0.00028
23,3,0.00032
24,3,0.00032
25,1,0.00028
26,2,0.00032
27,2,0.00028
28,3,0.00032
29,3,0.00028
30,2,0.00028
31,3,0.00032
32,3,0.0003
33,4,0.00036
34,4,0.00032
35,2,0.0003
36,3,0.0003
37,3,0.0003
38,4,0.00036
39,4,0.00036
40,3,0.00032
41,4,0.00034
42,4,0.00034
43,5,0.00036
44,5,0.00038
45,2,0.0003
46,3,0.00034
47,3,0.00032
48,4,0.00032
49,4,0.00032
50,1,0.0003
51,2,0.0003
52,2,0.00028
53,3,0.0003
54,3,0.0003
55,2,0.00032
56,3,0.00034
57,3,0.00032
58,4,0.00036
59,4,0.00034
60,2,0.0003
61,3,0.00032
62,3,0.00036
63,4,0.00034
64,4,0.00032
65,3,0.00032
66,4,0.00032
67,4,0.00036
68,5,0.00036
69,5,0.00034
70,2,0.0003
71,3,0.00034
72,3,0.0003
73,4,0.00036
74,4,0.00034
75,2,0.00028
76,3,0.00032
77,3,0.00032
78,4,0.00032
79,4,0.00032
80,3,0.0003
81,4,0.00034
82,4,0.00032
83,5,0.00036
84,5,0.00036
85,3,0.00034
86,4,0.00038
87,4,0.00034
88,5,0.0004
89,5,0.00038
90,4,0.00036
91,5,0.00038
92,5,0.00038
93,6,0.0004
94,6,0.0004
95,3,0.00032
96,4,0.00038
97,4,0.00034
98,5,0.0004
99,5,0.00038
100,2,0.00034
101,3,0.00034
102,3,0.00032
103,4,0.00034
104,4,0.00036
105,3,0.00032
106,4,0.00034
107,4,0.00036
108,5,0.00038
109,5,0.00034
110,3,0.00034
111,4,0.00036
112,4,0.00034
113,5,0.00036
114,5,0.00036
115,4,0.00038
116,5,0.00036
117,5,0.00036
118,6,0.00038
119,6,0.00036
120,3,0.00034
121,4,0.00034
122,4,0.00034
123,5,0.00036
124,5,0.00036
125,3,0.00032
126,4,0.00036
127,4,0.00036
128,5,0.00036
