Amount,No. coins used,Time taken
1,1,0.00092
2,2,0.00062
3,3,0.00064
4,4,0.00062
5,5,0.00068
6,1,0.00048
7,1,0.00046
8,2,0.00052
9,3,0.00056
10,4,0.00062
11,5,0.00068
12,6,0.00066
13,2,0.0005
14,2,0.00054
15,3,0.0006
16,4,0.00122
17,5,0.00126
18,6,0.00128
19,7,0.00138
20,3,0.0009
21,3,0.00096
22,4,0.00104
23,5,0.00108
24,6,0.00114
25,7,0.0012
26,8,0.00132
27,4,0.00108
28,4,0.00106
29,5,0.00114
30,6,0.00124
31,7,0.00126
32,8,0.00134
33,9,0.00148
34,5,0.00116
35,5,0.00114
36,6,0.00116
37,7,0.00126
38,8,0.00134
39,9,0.00136
40,10,0.0014
41,6,0.00118
42,6,0.00116
43,7,0.00124
44,8,0.00124
45,9,0.00132
46,10,0.00136
47,11,0.0014
48,7,0.00116
49,7,0.00122
50,8,0.00134
51,9,0.00136
52,10,0.0014
53,11,0.00152
54,12,0.00148
55,8,0.00132
56,8,0.00114
57,9,0.00122
58,10,0.00132
59,11,0.00134
60,12,0.00144
61,13,0.00148
62,9,0.00122
63,9,0.00124
64,10,0.0013
65,11,0.0013
66,12,0.0014
67,13,0.00144
68,14,0.0015
69,1,0.00068
70,2,0.00072
71,3,0.0008
72,4,0.00086
73,5,0.00092
74,6,0.001
75,2,0.00074
76,2,0.00078
77,3,0.00082
78,4,0.00082
79,5,0.0009
80,6,0.00094
81,7,0.00098
82,3,0.00086
83,3,0.00078
84,4,0.00084
85,5,0.00086
86,6,0.00092
87,7,0.00098
88,8,0.00102
89,4,0.0008
90,4,0.0008
91,5,0.00084
92,6,0.00092
93,7,0.00094
94,8,0.00096
95,9,0.00102
96,5,0.0008
97,5,0.00082
98,6,0.00086
99,7,0.00092
100,8,0.00096
101,9,0.00106
102,10,0.0011
103,6,0.00092
104,6,0.00084
105,7,0.00088
106,8,0.00094
107,9,0.00098
108,10,0.00104
109,11,0.0011
110,7,0.00084
111,7,0.0009
112,8,0.0009
113,9,0.00096
114,10,0.001
115,11,0.00106
116,12,0.00108
117,8,0.0009
118,8,0.0009
119,9,0.001
120,10,0.00102
121,11,0.001
122,12,0.0011
123,13,0.00112
124,9,0.00094
125,9,0.00094
126,10,0.00162
127,11,0.0013
128,12,0.00156
129,13,0.00118
130,14,0.00114
131,10,0.0009
132,10,0.00094
133,11,0.00096
134,12,0.00096
135,13,0.00096
136,14,0.00098
137,15,0.00102
138,2,0.0005
139,3,0.00054
140,4,0.0006
141,5,0.00062
142,6,0.00066
143,7,0.00068
144,3,0.00052
145,3,0.00054
146,4,0.00058
147,5,0.00062
148,6,0.00064
149,7,0.00068
150,8,0.00072
151,4,0.00056
152,4,0.00056
153,5,0.00064
154,6,0.0008
155,7,0.00086
156,8,0.00092
157,9,0.00094
158,5,0.00074
159,5,0.00074
160,6,0.00086
161,7,0.00088
162,8,0.00094
163,9,0.00096
164,10,0.00106
165,6,0.00086
166,6,0.00084
167,7,0.00092
168,8,0.00096
169,9,0.001
170,10,0.00108
171,11,0.00128
172,7,0.001
173,7,0.001
174,8,0.00108
175,9,0.0012
176,10,0.0012
177,11,0.00126
178,12,0.00128
179,8,0.00106
180,8,0.00106
181,9,0.00118
182,10,0.00128
183,11,0.00132
184,12,0.00136
185,13,0.00158
186,9,0.00118
187,9,0.00122
188,10,0.00132
189,11,0.00142
190,12,0.00146
191,13,0.00156
192,14,0.0016
193,10,0.00132
194,10,0.00128
195,11,0.00142
196,12,0.00146
197,13,0.00152
198,14,0.00154
199,15,0.00162
200,11,0.00138
201,11,0.00138
202,12,0.00146
203,13,0.00158
204,14,0.00158
205,15,0.0016
206,16,0.00166
207,3,0.00086
208,4,0.00088
209,5,0.00092
210,6,0.00096
211,7,0.00102
212,8,0.00114
213,4,0.00082
214,4,0.00088
215,5,0.00088
216,6,0.00094
217,7,0.001
218,8,0.001
219,9,0.00114
220,5,0.00088
221,5,0.00086
222,6,0.00096
223,7,0.00098
224,8,0.00102
225,9,0.00106
226,10,0.00116
227,6,0.00092
228,6,0.00092
229,7,0.00094
230,8,0.00104
231,9,0.00108
232,10,0.00112
233,11,0.00116
234,7,0.0009
235,7,0.00092
236,8,0.001
237,9,0.00104
238,10,0.0011
239,11,0.00116
240,12,0.00122
241,8,0.001
242,8,0.00102
243,9,0.00104
244,10,0.00106
245,11,0.00114
246,12,0.00116
247,13,0.00124
248,9,0.001
249,9,0.001
250,10,0.00106
251,11,0.00112
252,12,0.00118
253,13,0.00122
254,14,0.00128
255,10,0.00106
256,10,0.00106
257,11,0.00128
258,12,0.00126
259,13,0.00128
260,14,0.00126
261,15,0.00132
262,11,0.0011
263,11,0.0011
264,12,0.00112
265,13,0.00154
266,14,0.00124
267,15,0.00126
268,16,0.00132
269,12,0.00114
270,12,0.00112
271,13,0.0012
272,14,0.00114
273,15,0.0012
274,16,0.00194
275,17,0.00188
276,4,0.00122
277,5,0.00136
278,6,0.0026
279,7,0.00212
280,8,0.0023
281,9,0.0021
282,5,0.00164
283,5,0.00162
284,6,0.00174
285,7,0.00202
286,8,0.00216
287,9,0.0022
288,10,0.0034
289,6,0.003
290,6,0.00242
291,7,0.00328
292,8,0.00316
293,9,0.0037
294,10,0.00332
295,11,0.0036
296,7,0.00224
297,7,0.00228
298,8,0.00226
299,9,0.0022
300,10,0.00242
301,11,0.00252
302,12,0.00262
303,8,0.00212
304,8,0.00322
305,9,0.00302
306,10,0.0023
307,11,0.00382
308,12,0.0025
309,13,0.00218
310,9,0.0018
311,9,0.00172
312,10,0.00178
313,11,0.0019
314,12,0.00196
315,13,0.00392
316,14,0.00414
317,10,0.00394
318,10,0.00394
319,11,0.8511
320,12,0.00328
321,13,0.00274
322,14,0.00236
323,15,0.00232
324,11,0.00262
325,11,0.00244
326,12,0.00226
327,13,0.0028
328,14,0.00218
329,15,0.0032
330,16,0.0023
331,12,0.00196
332,12,0.0026
333,13,0.00212
334,14,0.00204
335,15,0.00202
336,16,0.002
337,17,0.00204
338,13,0.00186
339,13,0.00534
340,14,0.0019
341,15,0.0019
342,16,0.00204
343,17,0.00214
344,18,0.05772
345,5,0.001
346,6,0.00092
347,7,0.00148
348,8,0.00162
349,9,0.0016
350,10,0.00164
351,6,0.0014
352,6,0.0015
353,7,0.00196
354,8,0.0014
355,9,0.00146
356,10,0.00136
357,11,0.00136
358,7,0.00118
359,7,0.00116
360,8,0.00126
361,9,0.0013
362,10,0.00136
363,11,0.00138
364,12,0.00152
365,8,0.00124
366,8,0.00124
367,9,0.00126
368,10,0.00132
369,11,0.00136
370,12,0.00144
371,13,0.0022
372,9,0.00138
