Amount,No. coins used,Time taken
1,1,0.00062
2,2,0.00038
3,3,0.00042
4,1,0.00032
5,2,0.00032
6,3,0.00032
7,4,0.0006
8,2,0.00032
9,1,0.00028
10,2,0.00032
11,3,0.00034
12,4,0.00036
13,2,0.0003
14,3,0.00034
15,4,0.00056
16,1,0.0003
17,2,0.00034
18,3,0.00032
19,4,0.00036
20,2,0.00036
21,3,0.00032
22,4,0.00034
23,5,0.00036
24,3,0.0003
25,1,0.0003
26,2,0.00032
27,3,0.00032
28,4,0.00036
29,2,0.00032
30,3,0.0003
31,4,0.00034
32,5,0.00038
33,3,0.00034
34,2,0.0003
35,3,0.00032
36,1,0.00026
37,2,0.0003
38,3,0.00034
39,4,0.00034
40,2,0.00032
41,3,0.00034
42,4,0.00034
43,5,0.00036
44,3,0.00034
45,2,0.00028
46,3,0.00032
47,4,0.00032
48,5,0.00034
49,1,0.00028
50,2,0.00028
51,3,0.00034
52,4,0.00036
53,2,0.0003
54,3,0.00034
55,4,0.00034
56,5,0.00034
57,3,0.00032
58,2,0.0003
59,3,0.00036
60,4,0.00034
61,5,0.00038
62,3,0.0003
63,4,0.00038
64,5,0.00034
65,2,0.0003
66,3,0.00032
67,4,0.00036
68,5,0.00036
69,3,0.00032
70,4,0.00032
71,5,0.00034
72,6,0.00038
73,4,0.00032
74,2,0.00028
75,3,0.00032
76,4,0.00032
77,5,0.00038
78,3,0.00032
79,4,0.00034
80,5,0.00036
81,6,0.00038
82,4,0.00034
83,3,0.00032
84,4,0.00036
85,2,0.00028
86,3,0.00034
87,4,0.0004
88,5,0.00036
89,3,0.00032
90,4,0.00032
91,5,0.00036
92,6,0.00038
93,4,0.00034
94,3,0.00032
95,4,0.00034
96,5,0.00036
97,6,0.00036
98,2,0.00034
99,3,0.00034
100,4,0.00034
101,5,0.00036
102,3,0.00032
103,4,0.00034
104,5,0.0004
105,6,0.0004
106,4,0.00034
107,3,0.00032
108,4,0.00034
109,5,0.00036
110,6,0.0004
111,4,0.00034
112,5,0.00036
113,6,0.0004
114,3,0.0003
115,4,0.00036
116,5,0.0004
117,6,0.0004
118,4,0.00044
119,5,0.00042
120,6,0.0004
121,7,0.00044
122,5,0.00038
123,3,0.00032
124,4,0.00034
125,5,0.00036
126,6,0.00038
127,4,0.00034
128,5,0.00038
129,6,0.00038
130,7,0.0005
131,5,0.0004
132,4,0.00036
133,5,0.0004
134,3,0.00036
135,4,0.00036
136,5,0.0004
137,6,0.00036
138,4,0.00036
139,5,0.00038
140,6,0.00038
141,7,0.0004
142,5,0.00036
143,4,0.00034
144,5,0.00036
145,6,0.0004
146,7,0.0004
147,3,0.00034
148,4,0.00034
149,5,0.00036
150,6,0.0004
151,4,0.00034
152,5,0.00036
153,6,0.00038
154,7,0.0004
155,5,0.00034
156,4,0.00034
157,5,0.00036
158,6,0.00036
159,7,0.00042
160,5,0.00036
161,6,0.0004
162,7,0.0004
163,4,0.00034
164,5,0.00034
165,6,0.0004
166,7,0.0004
167,5,0.00036
168,6,0.00038
169,7,0.00042
170,8,0.00042
171,6,0.00038
172,4,0.00034
173,5,0.00036
174,6,0.00038
175,7,0.0004
176,5,0.00038
177,6,0.0004
178,7,0.0004
179,8,0.00042
180,6,0.00038
181,5,0.00036
182,6,0.00038
183,4,0.00036
184,5,0.00036
185,6,0.0004
186,7,0.00038
187,5,0.00036
188,6,0.00038
189,7,0.0004
190,8,0.0004
191,6,0.00036
192,5,0.00034
193,6,0.00038
194,7,0.00042
195,8,0.00046
196,4,0.00034
197,5,0.00038
198,6,0.0004
199,7,0.00042
200,5,0.00034
201,6,0.0004
202,7,0.00042
203,8,0.00044
204,6,0.00038
205,5,0.00036
206,6,0.00038
207,7,0.00044
208,8,0.0004
209,6,0.0004
210,7,0.0004
211,8,0.00048
212,5,0.00038
213,6,0.0004
214,7,0.0004
215,8,0.00042
216,6,0.0004
217,7,0.00044
218,8,0.00042
219,9,0.00044
220,7,0.0004
221,5,0.00036
222,6,0.0004
223,7,0.0004
224,8,0.00044
225,6,0.0004
226,7,0.0004
227,8,0.00046
228,9,0.0005
229,7,0.0004
230,6,0.0004
231,7,0.00042
232,5,0.00036
233,6,0.00042
234,7,0.0004
235,8,0.00042
236,6,0.0004
237,7,0.00044
238,8,0.00044
239,9,0.00042
240,7,0.00038
241,6,0.00038
242,7,0.0004
243,8,0.00042
244,9,0.00044
245,5,0.0004
246,6,0.00042
247,7,0.00044
248,8,0.00048
249,6,0.00038
250,7,0.00044
251,8,0.00046
252,9,0.00046
253,7,0.00042
254,6,0.0004
255,7,0.00042
256,8,0.00044
257,9,0.00052
258,7,0.00044
259,8,0.00048
260,9,0.00044
261,6,0.00038
262,7,0.00042
263,8,0.00044
264,9,0.00046
265,7,0.00044
266,8,0.00044
267,9,0.00046
268,10,0.00048
269,8,0.00044
270,6,0.0004
271,7,0.00042
272,8,0.00042
273,9,0.00044
274,7,0.0004
275,8,0.00044
276,9,0.00046
277,10,0.00048
278,8,0.00044
279,7,0.00044
280,8,0.00044
281,6,0.00038
282,7,0.0004
283,8,0.00042
284,9,0.00048
285,7,0.00042
286,8,0.00044
287,9,0.00048
288,10,0.00048
289,8,0.00044
290,7,0.00042
291,8,0.00046
292,9,0.00046
293,10,0.0005
294,6,0.00042
295,7,0.00046
296,8,0.00046
297,9,0.00044
298,7,0.00042
299,8,0.00054
300,9,0.0005
301,10,0.00048
302,8,0.00044
303,7,0.00042
304,8,0.00044
305,9,0.00048
306,10,0.00064
307,8,0.0005
308,9,0.0005
309,10,0.0005
310,7,0.00046
311,8,0.00048
312,9,0.00052
313,10,0.00048
314,8,0.00048
315,9,0.00048
316,10,0.00048
317,11,0.00054
318,9,0.00046
319,7,0.00046
320,8,0.00046
321,9,0.00046
322,10,0.00048
323,8,0.00046
324,9,0.00046
325,10,0.00046
326,11,0.00052
327,9,0.00048
328,8,0.00048
329,9,0.0005
330,7,0.00042
331,8,0.00048
332,9,0.00046
333,10,0.00048
334,8,0.00048
335,9,0.00052
336,10,0.00054
337,11,0.00054
338,9,0.00048
339,8,0.00046
340,9,0.00048
341,10,0.00052
342,11,0.0005
343,7,0.00046
344,8,0.00046
345,9,0.00048
346,10,0.0005
347,8,0.0005
348,9,0.00048
349,10,0.0005
350,11,0.00052
