Amount,No. coins used,Time taken
1,1,0.00082
2,2,0.00036
3,3,0.0003
4,4,0.0003
5,1,0.00022
6,2,0.00024
7,3,0.00026
8,4,0.00028
9,5,0.0003
10,1,0.00022
11,2,0.00026
12,3,0.00026
13,4,0.0003
14,5,0.0003
15,2,0.00026
16,3,0.00026
17,4,0.00028
18,5,0.0003
19,6,0.00032
20,2,0.00022
21,3,0.00026
22,4,0.00034
23,5,0.00034
24,6,0.00032
25,1,0.00024
26,2,0.00024
27,3,0.00028
28,4,0.0003
29,5,0.0003
30,2,0.00028
31,3,0.00026
32,4,0.0003
33,5,0.0003
34,6,0.00038
35,2,0.00024
36,3,0.00032
37,4,0.00028
38,5,0.0003
39,6,0.00032
40,3,0.00026
41,4,0.0003
42,5,0.0003
43,6,0.00032
44,7,0.00038
45,3,0.00026
46,4,0.00028
47,5,0.0003
48,6,0.00032
49,7,0.00034
50,2,0.00024
51,3,0.00028
52,4,0.00284
53,5,0.00064
54,6,0.00038
55,3,0.0003
56,4,0.00028
57,5,0.00032
58,6,0.00034
59,7,0.00036
60,3,0.00026
61,4,0.00028
62,5,0.0003
63,6,0.00034
64,7,0.00034
65,4,0.0003
66,5,0.00032
67,6,0.00034
68,7,0.00036
69,8,0.00038
70,4,0.00028
71,5,0.00032
72,6,0.00034
73,7,0.00036
74,8,0.00042
75,3,0.00028
76,4,0.00028
77,5,0.0003
78,6,0.00032
79,7,0.00036
80,4,0.0003
81,5,0.0003
82,6,0.00032
83,7,0.00036
84,8,0.00038
85,4,0.00028
86,5,0.0003
87,6,0.00032
88,7,0.00036
89,8,0.00036
90,5,0.0003
91,6,0.00032
92,7,0.00036
93,8,0.00042
94,9,0.00042
95,5,0.00032
96,6,0.00032
97,7,0.00036
98,8,0.00036
99,9,0.0004
100,4,0.00028
101,5,0.00032
102,6,0.00032
103,7,0.00036
104,8,0.0004
105,5,0.00032
106,6,0.00034
107,7,0.00034
108,8,0.00038
109,9,0.00038
110,5,0.0003
111,6,0.00032
112,7,0.00036
113,8,0.00038
114,9,0.00042
115,6,0.00032
116,7,0.00034
117,8,0.00038
118,9,0.0004
119,10,0.00042
120,6,0.00034
121,7,0.00036
122,8,0.00038
123,9,0.0004
124,10,0.00042
125,5,0.00032
126,6,0.00034
127,7,0.00036
128,8,0.00038
129,9,0.0004
130,6,0.00034
131,7,0.00036
132,8,0.0004
133,9,0.00042
134,10,0.00042
135,6,0.00034
136,7,0.00036
137,8,0.00038
138,9,0.0004
139,10,0.00044
140,7,0.00034
141,8,0.0004
142,9,0.0004
143,10,0.00044
144,11,0.00046
145,7,0.00036
146,8,0.0004
147,9,0.00042
148,10,0.00044
149,11,0.00046
150,6,0.00036
151,7,0.00036
152,8,0.0004
153,9,0.0004
154,10,0.00042
155,7,0.00036
156,8,0.0004
157,9,0.00042
158,10,0.00044
159,11,0.00048
160,7,0.00036
161,8,0.0004
162,9,0.00042
163,10,0.00046
164,11,0.00044
165,8,0.00038
166,9,0.00042
167,10,0.00042
168,11,0.00048
169,12,0.0005
170,8,0.00038
171,9,0.00042
172,10,0.00044
173,11,0.00048
174,12,0.00048
175,7,0.00036
176,8,0.00038
177,9,0.00042
178,10,0.00042
179,11,0.00046
180,8,0.00068
181,9,0.0005
182,10,0.0005
