Amount,No. coins used,Time taken
1,1,0.0006
2,2,0.00034
3,3,0.00036
4,4,0.00032
5,5,0.00172
6,6,0.00038
7,7,0.00042
8,8,0.0004
9,9,0.00044
10,10,0.00046
11,11,0.00054
12,12,0.00054
13,13,0.00052
14,14,0.00056
15,15,0.0006
16,16,0.00062
17,17,0.00062
18,18,0.00064
19,19,0.00066
20,20,0.00072
21,21,0.00074
22,22,0.00074
23,23,0.00078
24,24,0.00078
25,25,0.00084
26,26,0.00084
27,27,0.00088
28,28,0.00088
29,29,0.00092
30,30,0.00098
31,31,0.001
32,32,0.001
33,33,0.001
34,34,0.00104
35,35,0.00106
36,36,0.00108
37,37,0.00114
38,38,0.00114
39,39,0.00118
40,40,0.00122
41,1,0.00026
42,2,0.00028
43,1,0.00024
44,2,0.00028
45,3,0.00028
46,4,0.0003
47,5,0.00032
48,6,0.00036
49,7,0.0004
50,8,0.00042
51,9,0.00044
52,10,0.00046
53,11,0.00048
54,12,0.00052
55,13,0.00106
56,14,0.00054
57,15,0.00058
58,16,0.0006
59,17,0.00062
60,18,0.00066
61,19,0.00068
62,20,0.0007
63,21,0.00074
64,22,0.00076
65,23,0.00078
66,24,0.0008
67,25,0.00082
68,26,0.00086
69,27,0.00086
70,28,0.0009
71,29,0.0009
72,30,0.00094
73,31,0.00098
74,32,0.00098
75,33,0.001
76,34,0.00102
77,35,0.00106
78,36,0.00108
79,37,0.00112
80,38,0.00124
81,39,0.00118
82,40,0.0012
83,41,0.00122
84,2,0.00028
85,3,0.0003
86,2,0.00028
87,3,0.0003
88,4,0.00032
89,5,0.00032
90,6,0.00034
91,7,0.00038
92,8,0.00042
93,9,0.0004
94,10,0.00046
95,11,0.00046
96,12,0.0005
97,13,0.00054
98,14,0.00056
99,15,0.00058
100,16,0.00062
101,1,0.00026
102,2,0.00026
103,1,0.00026
104,2,0.00028
105,3,0.0003
106,4,0.00032
107,5,0.00036
108,6,0.00034
109,7,0.00036
110,8,0.0004
111,9,0.00042
112,10,0.00044
113,11,0.00048
114,12,0.0005
115,13,0.00052
116,14,0.00056
117,15,0.00056
118,16,0.0006
119,17,0.00062
120,18,0.00066
121,19,0.00066
122,20,0.00072
123,21,0.00074
124,22,0.00076
125,23,0.00074
126,24,0.0008
127,25,0.00082
128,26,0.00086
129,27,0.0009
130,28,0.00088
131,29,0.0009
132,30,0.00094
133,31,0.00096
134,32,0.001
135,33,0.00102
136,34,0.00102
137,35,0.00106
138,36,0.00108
139,37,0.00112
140,38,0.00114
141,39,0.00116
142,40,0.00122
143,41,0.00118
144,2,0.00026
145,3,0.00028
146,2,0.00024
147,3,0.00026
148,4,0.0003
149,5,0.00032
150,6,0.00034
151,7,0.00038
152,8,0.00038
153,9,0.00042
154,10,0.00048
155,11,0.0005
156,12,0.00052
157,13,0.00054
158,14,0.00056
159,15,0.00062
160,16,0.0006
161,17,0.00064
162,18,0.00066
163,19,0.00068
164,20,0.0007
165,21,0.00074
166,22,0.00078
167,23,0.00078
168,24,0.00082
169,25,0.00084
170,26,0.00084
171,27,0.0009
172,28,0.0009
173,29,0.00092
174,30,0.00096
175,31,0.00098
176,32,0.001
177,33,0.00104
178,34,0.00106
179,35,0.00108
180,36,0.00108
181,37,0.0011
182,38,0.00116
183,39,0.00112
184,40,0.0012
185,41,0.0012
186,42,0.00126
187,3,0.0003
188,4,0.0003
189,3,0.00028
190,4,0.0003
191,5,0.0004
192,6,0.00034
193,7,0.00038
194,8,0.00042
195,9,0.00042
196,10,0.00044
197,11,0.00048
198,12,0.00052
199,13,0.0005
200,14,0.00058
201,15,0.00058
202,16,0.00064
203,17,0.00064
204,2,0.00026
205,3,0.00028
206,2,0.00024
207,3,0.00028
208,4,0.0003
209,5,0.00034
210,6,0.00034
211,7,0.00038
212,8,0.0004
213,9,0.00044
214,10,0.00044
215,11,0.0005
216,12,0.00052
217,13,0.00056
218,14,0.00058
219,15,0.0006
220,16,0.0006
221,17,0.00062
222,18,0.00064
223,19,0.00068
224,20,0.0007
225,21,0.00072
226,22,0.00074
227,23,0.00076
228,24,0.0008
229,25,0.00082
230,26,0.00084
231,27,0.00086
232,28,0.00088
233,29,0.00092
234,30,0.00096
235,31,0.00098
236,32,0.00102
237,33,0.00102
238,34,0.00102
239,35,0.00106
240,36,0.0011
241,37,0.0018
242,38,0.00118
243,39,0.0012
244,40,0.0012
245,41,0.00122
246,42,0.00122
247,3,0.0003
248,4,0.0003
249,3,0.00032
250,4,0.0003
251,5,0.00034
252,6,0.00036
253,7,0.00038
254,8,0.00038
255,9,0.00042
256,10,0.00046
257,11,0.00054
258,12,0.00054
259,13,0.00054
260,14,0.0006
261,15,0.00058
262,16,0.00062
263,17,0.00064
264,18,0.00068
265,19,0.00068
266,20,0.00078
267,21,0.00074
268,22,0.00076
269,23,0.00078
270,24,0.0008
271,25,0.00084
272,26,0.00086
273,27,0.00092
274,28,0.00092
275,29,0.00096
276,30,0.00096
277,31,0.00094
278,32,0.001
279,33,0.00102
280,34,0.00104
281,35,0.00106
282,36,0.0011
283,37,0.00112
284,38,0.00114
285,39,0.00116
286,40,0.00114
287,41,0.00122
288,42,0.00122
289,43,0.0012
290,4,0.00034
291,5,0.00034
292,4,0.00032
293,5,0.00032
294,6,0.00036
295,7,0.00042
296,8,0.00046
297,9,0.00044
298,10,0.00046
299,11,0.00052
300,12,0.00052
301,13,0.00052
302,14,0.00058
303,15,0.00062
304,16,0.00062
305,17,0.00064
306,18,0.00068
307,3,0.0003
308,4,0.00032
309,3,0.00032
310,4,0.00032
311,5,0.00034
312,6,0.00034
313,7,0.00042
314,8,0.0004
315,9,0.00044
316,10,0.00044
317,11,0.0005
318,12,0.00052
319,13,0.00054
320,14,0.00056
321,15,0.00058
322,16,0.00064
323,17,0.00064
324,18,0.00062
325,19,0.00062
326,20,0.00066
327,21,0.00068
328,22,0.00072
329,23,0.00074
330,24,0.00074
331,25,0.00076
332,26,0.00078
333,27,0.00082
334,28,0.00084
335,29,0.00084
336,30,0.00092
337,31,0.0009
338,32,0.00096
339,33,0.00096
340,34,0.00098
341,35,0.00098
342,36,0.00104
343,37,0.00108
344,38,0.00106
345,39,0.0011
346,40,0.00112
347,41,0.00114
348,42,0.00116
349,43,0.00118
350,4,0.0003
351,5,0.00032
352,4,0.0003
353,5,0.00032
354,6,0.00032
355,7,0.00036
356,8,0.00038
357,9,0.0004
358,10,0.00044
359,11,0.00046
360,12,0.0006
361,13,0.00052
362,14,0.00052
363,15,0.00054
364,16,0.00056
365,17,0.0006
366,18,0.0006
367,19,0.00066
368,20,0.00066
369,21,0.0007
370,22,0.0007
371,23,0.00074
372,24,0.00076
